id,energy_consumption,energy_effective,energy_waste
0,232680.0,228900.0,3780.0
1,232680.0,228900.0,3780.0
2,232680.0,228900.0,3780.0
3,232680.0,228900.0,3780.0
4,232680.0,228900.0,3780.0
5,232680.0,226590.0,6090.0
6,232680.0,225960.0,6720.0
7,232680.0,225960.0,6720.0
8,232680.0,225960.0,6720.0
9,232680.0,225960.0,6720.0
10,232680.0,225960.0,6720.0
11,226248.0,212730.0,13518.0
12,219816.0,204540.0,15276.0
13,216600.0,202860.0,13740.0
14,217203.0,207900.0,9303.0
15,207957.0,199920.0,8037.0
16,228258.0,216090.0,12168.0
17,207957.0,196770.0,11187.0
18,211776.0,200130.0,11646.0
19,200721.0,181020.0,19701.0
20,215193.0,203700.0,11493.0
21,218610.0,198870.0,19740.0
22,226248.0,212940.0,13308.0
23,218409.0,203700.0,14709.0
24,201123.0,183960.0,17163.0
25,159114.0,135870.0,23244.0
26,170370.0,141960.0,28410.0
