dvfs_mode,state,submission_time,start_time,finish_time,nodes,job_id,terminated
base,active,,0.0,7.0,0 1 2 3 4 5,-1,
base,active,,0.0,8.0,6 7 8 9 10 11 12,-1,
base,active,,0.0,10.0,13 14 15 16 17,-1,
base,active,,0.0,13.0,18 19 20 21 22 23,-1,
base,active,,0.0,21.0,24 25,-1,
base,active,,7.0,73.0,0 1 2 3 4 5,1,False
base,active,,8.0,95.0,6 7 8 9 10 11 12,2,False
base,active,,10.0,90.0,13 14 15 16 17,3,False
base,active,,13.0,76.0,18 19 20 21 22 23,4,False
base,switching_off,,21.0,26.0,24 25,-2,
base,sleeping,,26.0,76.0,24,-4,
base,sleeping,,26.0,95.0,25,-4,
base,active,,73.0,129.0,0 1 2 3 4 5,5,False
base,active,,76.0,81.0,18 19 20 21 22 23,-1,
base,switching_on,,76.0,81.0,24,-3,
base,active,,81.0,140.0,18 19 20 21 22 23 24,6,False
base,active,,90.0,165.0,13 14 15 16 17,7,False
base,active,,95.0,100.0,6 7 8 9 10 11 12,-1,
base,switching_on,,95.0,100.0,25,-3,
base,active,,100.0,166.0,6 7 8 9 10 11 12 25,8,False
base,active,,129.0,140.0,5,-1,
base,active,,129.0,198.0,0 1 2 3 4,9,False
base,active,,140.0,161.0,22 23 24,-1,
base,active,,140.0,216.0,5 18 19 20 21,10,False
base,switching_off,,161.0,166.0,22 23 24,-2,
base,active,,165.0,216.0,13 14 15 16 17,11,False
base,active,,166.0,171.0,25,-1,
base,switching_on,,166.0,171.0,22 23 24,-3,
base,active,,166.0,254.0,6 7 8 9 10 11 12,12,False
base,active,,171.0,253.0,22 23 24 25,37,False
base,active,,198.0,260.0,0 1 2 3 4,13,False
base,active,,216.0,237.0,19 20 21,-1,
base,active,,216.0,273.0,5 13 14 15 16 17 18,14,False
base,switching_off,,237.0,242.0,19 20 21,-2,
base,sleeping,,242.0,253.0,19 20 21,-4,
base,active,,253.0,258.0,22 23 24 25,-1,
base,switching_on,,253.0,258.0,19 20 21,-3,
base,active,,254.0,273.0,12,-1,
base,active,,254.0,319.0,6 7 8 9 10 11,16,False
base,active,,258.0,331.0,19 20 21 22 23 24 25,15,False
base,active,,260.0,338.0,0 1 2 3 4,22,False
base,active,,273.0,345.0,5 12 13 14 15 16 17 18,17,False
base,active,,319.0,380.0,6 7 8 9 10 11,19,False
base,active,,331.0,353.0,19 20 21 22 23 24 25,18,False
base,active,,338.0,392.0,0 1 2 3 4,27,False
base,active,,345.0,353.0,18,-1,
base,active,,345.0,384.0,5 12 13 14 15 16 17,20,False
base,active,,353.0,374.0,24 25,-1,
base,active,,353.0,412.0,18 19 20 21 22 23,21,False
base,switching_off,,374.0,379.0,24 25,-2,
base,sleeping,,379.0,392.0,24,-4,
base,sleeping,,379.0,412.0,25,-4,
base,active,,380.0,450.0,6 7 8 9 10 11,23,False
base,active,,384.0,441.0,5 12 13 14 15 16 17,24,False
base,active,,392.0,397.0,0 1 2 3 4,-1,
base,switching_on,,392.0,397.0,24,-3,
base,active,,397.0,460.0,0 1 2 3 4 24,25,False
base,active,,412.0,417.0,18 19 20 21 22 23,-1,
base,switching_on,,412.0,417.0,25,-3,
base,active,,417.0,491.0,18 19 20 21 22 23 25,26,False
base,active,,441.0,497.0,5 12 13 14 15 16 17,28,False
base,active,,450.0,543.0,6 7 8 9 10 11,29,False
base,active,,460.0,540.0,0 1 2 3 4 24,30,False
base,active,,491.0,560.0,18 19 20 21 22 23 25,31,False
base,active,,497.0,566.0,5 12 13 14 15 16 17,33,False
base,active,,540.0,543.0,4 24,-1,
base,active,,540.0,593.0,0 1 2 3,68,False
base,active,,543.0,618.0,4 6 7 8 9 10 11 24,32,False
base,active,,560.0,566.0,25,-1,
base,active,,560.0,615.0,18 19 20 21 22 23,38,False
base,active,,566.0,631.0,5 12 13 14 15 16 17 25,34,False
base,active,,593.0,614.0,0 1 2 3,-1,
