dvfs_mode,state,submission_time,start_time,finish_time,nodes,job_id,terminated
base,active,,0.0,4.0,0 1 2 3 4 5,-1,
base,active,,0.0,6.0,6 7 8 9 10,-1,
base,active,,0.0,16.0,11 12 13,-1,
base,active,,0.0,24.0,14 15 16 17,-1,
base,active,,4.0,75.0,0 1 2 3 4 5,1,False
base,active,,6.0,79.0,6 7 8 9 10,2,False
base,active,,16.0,99.0,11 12 13,3,False
base,active,,24.0,88.0,14 15 16 17,4,False
base,active,,75.0,79.0,4 5,-1,
base,active,,75.0,144.0,0 1 2 3,5,False
base,active,,79.0,80.0,8 9 10,-1,
base,active,,79.0,159.0,4 5 6 7,6,False
base,active,,80.0,161.0,8 9 10,17,False
base,active,,88.0,142.0,14 15 16 17,7,False
base,active,,99.0,142.0,11 12 13,-1,
base,active,,142.0,144.0,16,-1,
base,active,,142.0,161.0,17,-1,
base,active,,142.0,223.0,11 12 13 14 15,8,False
base,active,,144.0,216.0,0 1 2 3 16,9,False
base,active,,159.0,229.0,4 5 6 7,10,False
base,active,,161.0,220.0,8 9 10 17,16,False
base,active,,216.0,220.0,3 16,-1,
base,active,,216.0,298.0,0 1 2,19,False
base,active,,220.0,307.0,3 8 9 10 16 17,11,False
base,active,,223.0,229.0,14 15,-1,
base,active,,223.0,291.0,11 12 13,23,False
base,active,,229.0,293.0,4 5 6 7 14 15,12,False
base,active,,291.0,361.0,11 12 13,27,False
base,active,,293.0,353.0,4 5 6 7,13,False
base,active,,293.0,359.0,14 15,40,False
base,active,,298.0,307.0,0 1 2,-1,
base,active,,307.0,353.0,16,-1,
base,active,,307.0,378.0,17,-1,
base,active,,307.0,378.0,0 1 2 3 8 9 10,14,False
base,active,,353.0,427.0,4 5 6 7 16,15,False
base,active,,359.0,361.0,14 15,-1,
base,active,,361.0,431.0,11 12 13 14 15,18,False
base,active,,378.0,434.0,0 1 2 3,20,False
base,active,,378.0,449.0,8 9 10 17,21,False
base,active,,427.0,496.0,16,63,False
base,active,,427.0,505.0,4 5 6 7,22,False
base,active,,431.0,503.0,11 12 13 14 15,24,False
base,active,,434.0,449.0,3,-1,
base,active,,434.0,507.0,0 1 2,28,False
base,active,,449.0,531.0,3 8 9 10 17,25,False
base,active,,496.0,507.0,16,-1,
base,active,,503.0,505.0,13 14 15,-1,
base,active,,503.0,586.0,11 12,47,False
base,active,,505.0,573.0,4 5 6 7 13 14 15,26,False
base,active,,507.0,580.0,0 1 2 16,29,False
base,active,,531.0,609.0,3 8 9 10 17,30,False
base,active,,573.0,580.0,15,-1,
base,active,,573.0,651.0,4 5 6 7 13 14,31,False
base,active,,580.0,647.0,0 1 2 15 16,32,False
base,active,,586.0,658.0,11 12,52,False
base,active,,609.0,658.0,17,-1,
base,active,,609.0,701.0,3 8 9 10,33,False
base,active,,647.0,729.0,0 1 2 15 16,34,False
base,active,,651.0,658.0,14,-1,
base,active,,651.0,704.0,4 5 6 7 13,35,False
base,active,,658.0,741.0,11 12 14 17,36,False
base,active,,701.0,767.0,3 8 9 10,37,False
base,active,,704.0,789.0,4 5 6 7 13,38,False
base,active,,729.0,741.0,16,-1,
base,active,,729.0,804.0,0 1 2 15,39,False
base,active,,741.0,767.0,17,-1,
base,active,,741.0,808.0,11 12 14 16,41,False
base,active,,767.0,842.0,3 8 9 10 17,42,False
base,active,,789.0,808.0,13,-1,
base,active,,789.0,852.0,4 5 6 7,43,False
base,active,,804.0,808.0,2 15,-1,
base,active,,804.0,872.0,0 1,55,False
base,active,,808.0,842.0,16,-1,
base,active,,808.0,897.0,2 11 12 13 14 15,44,False
base,active,,842.0,914.0,17,-1,
base,active,,842.0,914.0,3 8 9 10 16,45,False
base,active,,852.0,872.0,4 5 6 7,-1,
base,active,,872.0,935.0,0 1 4 5 6 7,46,False
base,active,,897.0,975.0,14 15,58,False
base,active,,897.0,981.0,2 11 12 13,48,False
base,active,,914.0,990.0,3 8 9 10 16 17,49,False
base,active,,935.0,975.0,7,-1,
base,active,,935.0,1016.0,0 1 4 5 6,50,False
base,active,,975.0,981.0,15,-1,
base,active,,975.0,1038.0,7 14,71,False
base,active,,981.0,1041.0,2 11 12 13 15,51,False
base,active,,990.0,1052.0,3 8 9 10 16 17,53,False
base,active,,1016.0,1038.0,6,-1,
base,active,,1016.0,1074.0,0 1 4 5,54,False
base,active,,1038.0,1108.0,6 7 14,59,False
base,active,,1041.0,1095.0,2 11 12 13 15,56,False
base,active,,1052.0,1074.0,3 8 9 10,-1,
base,active,,1052.0,1095.0,16 17,-1,
base,active,,1074.0,1157.0,0 1 3 4 5 8 9 10,57,False
base,active,,1095.0,1150.0,13 15 16 17,61,False
base,active,,1095.0,1157.0,2 11 12,60,False
base,active,,1108.0,1175.0,6 7 14,62,False
base,active,,1150.0,1209.0,17,-1,
base,active,,1150.0,1209.0,13 15 16,64,False
base,active,,1157.0,1175.0,10 11 12,-1,
base,active,,1157.0,1218.0,4 5 8 9,66,False
base,active,,1157.0,1248.0,0 1 2 3,65,False
base,active,,1175.0,1249.0,6 7 10 11 12 14,67,False
base,active,,1209.0,1283.0,13 15 16 17,68,False
base,active,,1218.0,1293.0,4 5 8 9,69,False
base,active,,1248.0,1249.0,3,-1,
base,active,,1248.0,1323.0,0 1 2,70,False
base,active,,1249.0,1311.0,11 12 14,76,False
base,active,,1249.0,1335.0,3 6 7 10,72,False
base,active,,1283.0,1334.0,13 15 16 17,73,False
base,active,,1293.0,1358.0,4 5 8 9,74,False
base,active,,1311.0,1323.0,11 12,-1,
base,active,,1311.0,1334.0,14,-1,
base,active,,1323.0,1411.0,0 1 2 11 12,75,False
base,active,,1334.0,1335.0,17,-1,
base,active,,1334.0,1389.0,13 14 15 16,77,False
base,active,,1335.0,1413.0,3 6 7 10 17,78,False
base,active,,1358.0,1389.0,9,-1,
base,active,,1358.0,1412.0,4 5 8,90,False
base,active,,1389.0,1452.0,9 13 14 15 16,79,False
base,active,,1411.0,1412.0,12,-1,
base,active,,1411.0,1481.0,0 1 2 11,80,False
base,active,,1412.0,1479.0,4 5 8 12,83,False
base,active,,1413.0,1489.0,3 6 7 10 17,81,False
base,active,,1452.0,1479.0,9 13,-1,
base,active,,1452.0,1489.0,14 15 16,-1,
base,active,,1479.0,1565.0,4 5 8 9 12 13,82,False
base,active,,1481.0,1548.0,0 1 2 11,84,False
base,active,,1489.0,1546.0,14 15 16 17,100,False
base,active,,1489.0,1571.0,3 6 7 10,85,False
base,active,,1546.0,1548.0,14,-1,
base,active,,1546.0,1571.0,15 16,-1,
base,active,,1546.0,1610.0,17,-1,
base,active,,1548.0,1610.0,0 1 2 11 14,86,False
base,active,,1565.0,1571.0,13,-1,
base,active,,1565.0,1637.0,4 5 8 9 12,87,False
base,active,,1571.0,1632.0,3 6 7 10 13 15 16,88,False
base,active,,1610.0,1659.0,0 1 2 11 14 17,89,False
base,active,,1632.0,1659.0,15,-1,
base,active,,1632.0,1687.0,3 6 7 10 13,91,False
base,active,,1632.0,1716.0,16,-1,
base,active,,1637.0,1711.0,4 5 8 9 12,92,False
base,active,,1659.0,1716.0,17,-1,
base,active,,1659.0,1716.0,0 1 2 11 14 15,93,False
base,active,,1687.0,1768.0,3 6 7 10 13,94,False
base,active,,1711.0,1716.0,12,-1,
base,active,,1711.0,1800.0,4 5 8 9,95,False
base,active,,1716.0,1785.0,0 1 2 11,96,False
base,active,,1716.0,1792.0,12 14 15 16 17,97,False
base,active,,1768.0,1840.0,3 6 7 10 13,98,False
base,active,,1785.0,1792.0,0 1 2 11,-1,
base,active,,1792.0,1856.0,14 15 16 17,-1,
base,active,,1792.0,1856.0,0 1 2 11 12,99,False
base,active,,1800.0,1856.0,4 5 8 9,-1,
base,active,,1840.0,1856.0,3 6 7 10 13,-1,
