job_id,type,nodes,start_time,subtime,actual_finish_time,req_finish_time,terminated,finish_time
2,execution_finished,"[9, 10, 11, 12, 13, 14, 15]",89.0,84,130.0,125.0,False,130.0
5,execution_finished,"[9, 10, 11, 12, 13]",139.0,139,162.0,157.0,False,162.0
3,execution_finished,"[16, 17, 18, 19, 20, 21]",104.0,99,167.0,161.0,False,167.0
4,execution_finished,"[22, 23, 24, 25, 26, 27]",107.0,102,174.0,171.0,False,174.0
1,execution_finished,"[0, 1, 2, 3, 4, 5, 6, 7, 8]",53.0,48,183.0,180.0,False,183.0
9,execution_finished,"[19, 20, 21, 22, 23, 24, 25]",246.0,241,287.0,278.0,False,287.0
7,execution_finished,"[0, 1, 2, 3, 4]",213.0,208,299.0,299.0,False,299.0
6,execution_finished,"[9, 10, 11, 12, 13, 14]",203.0,198,320.0,315.0,False,320.0
8,execution_finished,"[5, 6, 7, 8, 15, 16, 17, 18]",241.0,236,347.0,342.0,False,347.0
11,execution_finished,"[0, 1, 2, 3, 4, 22, 23]",299.0,278,371.0,371.0,False,371.0
12,execution_finished,"[9, 10, 11, 12, 13, 14, 24, 25]",325.0,291,374.0,371.0,False,374.0
19,execution_finished,"[17, 18, 23, 24, 25, 26, 27]",396.0,389,404.0,398.0,False,404.0
10,execution_finished,"[19, 20, 21]",287.0,268,407.0,403.0,False,407.0
13,execution_finished,"[5, 6, 7, 8, 15, 16]",347.0,294,407.0,407.0,False,407.0
15,execution_finished,"[9, 10, 11, 12, 13, 14]",374.0,325,429.0,426.0,False,429.0
20,execution_finished,"[17, 18, 23, 24, 25, 26, 27]",404.0,404,430.0,428.0,False,430.0
14,execution_finished,"[0, 1, 2, 3, 4, 22]",371.0,322,452.0,452.0,False,452.0
18,execution_finished,"[0, 1, 2, 3, 4, 22, 21, 23]",457.0,377,476.0,470.0,False,476.0
21,execution_finished,"[0, 1, 2, 3, 4, 21, 22]",476.0,413,477.0,477.0,False,477.0
17,execution_finished,"[9, 10, 11, 12, 13, 14, 17, 18]",430.0,361,483.0,484.0,False,483.0
16,execution_finished,"[5, 6, 7, 8, 15, 16, 19, 20]",407.0,333,500.0,495.0,False,500.0
23,execution_finished,"[9, 10, 11, 12, 13, 14, 17, 18]",483.0,464,562.0,562.0,False,562.0
22,execution_finished,"[0, 1, 2, 3, 4, 21]",477.0,433,582.0,582.0,False,582.0
26,execution_finished,"[6, 7, 8, 14, 15, 16, 17]",598.0,593,645.0,641.0,False,645.0
24,execution_finished,"[9, 10, 11, 12, 13]",562.0,562,653.0,652.0,False,653.0
25,execution_finished,"[0, 1, 2, 3, 4, 21, 5]",595.0,590,654.0,653.0,False,654.0
27,execution_finished,"[18, 19, 20, 22, 23, 24]",602.0,597,663.0,658.0,False,663.0
28,execution_finished,"[0, 1, 2, 3, 4]",683.0,678,712.0,713.0,False,712.0
29,execution_finished,"[5, 6, 7, 8]",690.0,685,729.0,723.0,False,729.0
31,execution_finished,"[14, 15, 16, 17, 18]",697.0,692,765.0,763.0,False,765.0
32,execution_finished,"[5, 6, 7, 8, 0, 1]",742.0,737,767.0,763.0,False,767.0
30,execution_finished,"[9, 10, 11, 12, 13]",694.0,689,796.0,795.0,False,796.0
33,execution_finished,"[2, 3, 4, 19, 20, 21, 22, 23]",750.0,745,811.0,802.0,False,811.0
34,execution_finished,"[14, 15, 16, 17, 18, 24]",770.0,746,846.0,841.0,False,846.0
35,execution_finished,"[0, 1, 2, 3, 4, 5]",837.0,832,858.0,852.0,False,858.0
37,execution_finished,"[14, 15, 16, 17, 18, 24, 13]",853.0,848,927.0,926.0,False,927.0
36,execution_finished,"[6, 7, 8, 9, 10, 11, 12]",837.0,832,941.0,938.0,False,941.0
40,execution_finished,"[19, 20, 21, 22, 23, 25]",943.0,938,969.0,969.0,False,969.0
38,execution_finished,"[0, 1, 2, 3, 4, 5]",867.0,867,994.0,992.0,False,994.0
39,execution_finished,"[13, 14, 15, 16, 17, 18, 24]",935.0,935,994.0,989.0,False,994.0
41,execution_finished,"[6, 7, 8, 9, 10, 11]",995.0,990,1034.0,1031.0,False,1034.0
43,execution_finished,"[0, 1, 2, 3, 4, 5, 13, 14]",996.0,996,1078.0,1070.0,False,1078.0
45,execution_finished,"[6, 7, 8, 9, 10, 11]",1060.0,1055,1094.0,1094.0,False,1094.0
