id,state_history
0,"[{'state': 'active', 'dvfs_mode': 'base', 'start_time': 0, 'finish_time': 0}, {'state': 'active', 'start_time': 0, 'finish_time': 19, 'dvfs_mode': 'base'}, {'state': 'active', 'start_time': 19, 'finish_time': 80.0, 'dvfs_mode': 'base'}, {'state': 'active', 'start_time': 80.0, 'finish_time': 80.0, 'dvfs_mode': 'base'}, {'state': 'active', 'start_time': 80.0, 'finish_time': 137.0, 'dvfs_mode': 'base'}, {'state': 'active', 'start_time': 137.0, 'finish_time': 137.0, 'dvfs_mode': 'base'}, {'state': 'active', 'start_time': 137.0, 'finish_time': 206.0, 'dvfs_mode': 'base'}, {'state': 'active', 'start_time': 206.0, 'finish_time': 206.0, 'dvfs_mode': 'base'}, {'state': 'active', 'start_time': 206.0, 'finish_time': 207.0, 'dvfs_mode': 'base'}, {'state': 'active', 'start_time': 207.0, 'finish_time': 228.0, 'dvfs_mode': 'base'}, {'state': 'switching_off', 'start_time': 228.0, 'finish_time': 233.0, 'dvfs_mode': 'base'}, {'state': 'sleeping', 'start_time': 233.0, 'finish_time': 1118.0, 'dvfs_mode': 'base'}]"
1,"[{'state': 'active', 'dvfs_mode': 'base', 'start_time': 0, 'finish_time': 0}, {'state': 'active', 'start_time': 0, 'finish_time': 19, 'dvfs_mode': 'base'}, {'state': 'active', 'start_time': 19, 'finish_time': 80.0, 'dvfs_mode': 'base'}, {'state': 'active', 'start_time': 80.0, 'finish_time': 80.0, 'dvfs_mode': 'base'}, {'state': 'active', 'start_time': 80.0, 'finish_time': 195.0, 'dvfs_mode': 'base'}, {'state': 'active', 'start_time': 195.0, 'finish_time': 195.0, 'dvfs_mode': 'base'}, {'state': 'active', 'start_time': 195.0, 'finish_time': 248.0, 'dvfs_mode': 'base'}, {'state': 'active', 'start_time': 248.0, 'finish_time': 248.0, 'dvfs_mode': 'base'}, {'state': 'active', 'start_time': 248.0, 'finish_time': 299.0, 'dvfs_mode': 'base'}, {'state': 'active', 'start_time': 299.0, 'finish_time': 299.0, 'dvfs_mode': 'base'}, {'state': 'active', 'start_time': 299.0, 'finish_time': 411.0, 'dvfs_mode': 'base'}, {'state': 'active', 'start_time': 411.0, 'finish_time': 411.0, 'dvfs_mode': 'base'}, {'state': 'active', 'start_time': 411.0, 'finish_time': 475.0, 'dvfs_mode': 'base'}, {'state': 'active', 'start_time': 475.0, 'finish_time': 475.0, 'dvfs_mode': 'base'}, {'state': 'active', 'start_time': 475.0, 'finish_time': 533.0, 'dvfs_mode': 'base'}, {'state': 'active', 'start_time': 533.0, 'finish_time': 533.0, 'dvfs_mode': 'base'}, {'state': 'active', 'start_time': 533.0, 'finish_time': 547.0, 'dvfs_mode': 'base'}, {'state': 'active', 'start_time': 547.0, 'finish_time': 547.0, 'dvfs_mode': 'base'}, {'state': 'active', 'start_time': 547.0, 'finish_time': 733.0, 'dvfs_mode': 'base'}, {'state': 'active', 'start_time': 733.0, 'finish_time': 733.0, 'dvfs_mode': 'base'}, {'state': 'active', 'start_time': 733.0, 'finish_time': 871.0, 'dvfs_mode': 'base'}, {'state': 'active', 'start_time': 871.0, 'finish_time': 871.0, 'dvfs_mode': 'base'}, {'state': 'active', 'start_time': 871.0, 'finish_time': 986.0, 'dvfs_mode': 'base'}, {'state': 'active', 'start_time': 986.0, 'finish_time': 986.0, 'dvfs_mode': 'base'}, {'state': 'active', 'start_time': 986.0, 'finish_time': 1091.0, 'dvfs_mode': 'base'}, {'state': 'active', 'start_time': 1091.0, 'finish_time': 1113.0, 'dvfs_mode': 'base'}, {'state': 'switching_off', 'start_time': 1113.0, 'finish_time': 1118.0, 'dvfs_mode': 'base'}, {'state': 'sleeping', 'start_time': 1118.0, 'finish_time': 1118.0, 'dvfs_mode': 'base'}]"
2,"[{'state': 'active', 'dvfs_mode': 'base', 'start_time': 0, 'finish_time': 0}, {'state': 'active', 'start_time': 0, 'finish_time': 19, 'dvfs_mode': 'base'}, {'state': 'active', 'start_time': 19, 'finish_time': 80.0, 'dvfs_mode': 'base'}, {'state': 'active', 'start_time': 80.0, 'finish_time': 80.0, 'dvfs_mode': 'base'}, {'state': 'active', 'start_time': 80.0, 'finish_time': 195.0, 'dvfs_mode': 'base'}, {'state': 'active', 'start_time': 195.0, 'finish_time': 195.0, 'dvfs_mode': 'base'}, {'state': 'active', 'start_time': 195.0, 'finish_time': 248.0, 'dvfs_mode': 'base'}, {'state': 'active', 'start_time': 248.0, 'finish_time': 248.0, 'dvfs_mode': 'base'}, {'state': 'active', 'start_time': 248.0, 'finish_time': 299.0, 'dvfs_mode': 'base'}, {'state': 'active', 'start_time': 299.0, 'finish_time': 299.0, 'dvfs_mode': 'base'}, {'state': 'active', 'start_time': 299.0, 'finish_time': 411.0, 'dvfs_mode': 'base'}, {'state': 'active', 'start_time': 411.0, 'finish_time': 411.0, 'dvfs_mode': 'base'}, {'state': 'active', 'start_time': 411.0, 'finish_time': 475.0, 'dvfs_mode': 'base'}, {'state': 'active', 'start_time': 475.0, 'finish_time': 475.0, 'dvfs_mode': 'base'}, {'state': 'active', 'start_time': 475.0, 'finish_time': 512.0, 'dvfs_mode': 'base'}, {'state': 'active', 'start_time': 512.0, 'finish_time': 512.0, 'dvfs_mode': 'base'}, {'state': 'active', 'start_time': 512.0, 'finish_time': 640.0, 'dvfs_mode': 'base'}, {'state': 'active', 'start_time': 640.0, 'finish_time': 640.0, 'dvfs_mode': 'base'}, {'state': 'active', 'start_time': 640.0, 'finish_time': 814.0, 'dvfs_mode': 'base'}, {'state': 'active', 'start_time': 814.0, 'finish_time': 814.0, 'dvfs_mode': 'base'}, {'state': 'active', 'start_time': 814.0, 'finish_time': 852.0, 'dvfs_mode': 'base'}, {'state': 'active', 'start_time': 852.0, 'finish_time': 852.0, 'dvfs_mode': 'base'}, {'state': 'active', 'start_time': 852.0, 'finish_time': 916.0, 'dvfs_mode': 'base'}, {'state': 'active', 'start_time': 916.0, 'finish_time': 916.0, 'dvfs_mode': 'base'}, {'state': 'active', 'start_time': 916.0, 'finish_time': 1000.0, 'dvfs_mode': 'base'}, {'state': 'active', 'start_time': 1000.0, 'finish_time': 1000.0, 'dvfs_mode': 'base'}, {'state': 'active', 'start_time': 1000.0, 'finish_time': 1055.0, 'dvfs_mode': 'base'}, {'state': 'active', 'start_time': 1055.0, 'finish_time': 1077.0, 'dvfs_mode': 'base'}, {'state': 'switching_off', 'start_time': 1077.0, 'finish_time': 1082.0, 'dvfs_mode': 'base'}, {'state': 'sleeping', 'start_time': 1082.0, 'finish_time': 1118.0, 'dvfs_mode': 'base'}]"
3,"[{'state': 'active', 'dvfs_mode': 'base', 'start_time': 0, 'finish_time': 0}, {'state': 'active', 'start_time': 0, 'finish_time': 22, 'dvfs_mode': 'base'}, {'state': 'switching_off', 'start_time': 22, 'finish_time': 27, 'dvfs_mode': 'base'}, {'state': 'sleeping', 'start_time': 27, 'finish_time': 1118.0, 'dvfs_mode': 'base'}]"
4,"[{'state': 'active', 'dvfs_mode': 'base', 'start_time': 0, 'finish_time': 0}, {'state': 'active', 'start_time': 0, 'finish_time': 22, 'dvfs_mode': 'base'}, {'state': 'switching_off', 'start_time': 22, 'finish_time': 27, 'dvfs_mode': 'base'}, {'state': 'sleeping', 'start_time': 27, 'finish_time': 1118.0, 'dvfs_mode': 'base'}]"
5,"[{'state': 'active', 'dvfs_mode': 'base', 'start_time': 0, 'finish_time': 0}, {'state': 'active', 'start_time': 0, 'finish_time': 22, 'dvfs_mode': 'base'}, {'state': 'switching_off', 'start_time': 22, 'finish_time': 27, 'dvfs_mode': 'base'}, {'state': 'sleeping', 'start_time': 27, 'finish_time': 1118.0, 'dvfs_mode': 'base'}]"
6,"[{'state': 'active', 'dvfs_mode': 'base', 'start_time': 0, 'finish_time': 0}, {'state': 'active', 'start_time': 0, 'finish_time': 22, 'dvfs_mode': 'base'}, {'state': 'switching_off', 'start_time': 22, 'finish_time': 27, 'dvfs_mode': 'base'}, {'state': 'sleeping', 'start_time': 27, 'finish_time': 1118.0, 'dvfs_mode': 'base'}]"
7,"[{'state': 'active', 'dvfs_mode': 'base', 'start_time': 0, 'finish_time': 0}, {'state': 'active', 'start_time': 0, 'finish_time': 22, 'dvfs_mode': 'base'}, {'state': 'switching_off', 'start_time': 22, 'finish_time': 27, 'dvfs_mode': 'base'}, {'state': 'sleeping', 'start_time': 27, 'finish_time': 1118.0, 'dvfs_mode': 'base'}]"
8,"[{'state': 'active', 'dvfs_mode': 'base', 'start_time': 0, 'finish_time': 0}, {'state': 'active', 'start_time': 0, 'finish_time': 22, 'dvfs_mode': 'base'}, {'state': 'switching_off', 'start_time': 22, 'finish_time': 27, 'dvfs_mode': 'base'}, {'state': 'sleeping', 'start_time': 27, 'finish_time': 1118.0, 'dvfs_mode': 'base'}]"
9,"[{'state': 'active', 'dvfs_mode': 'base', 'start_time': 0, 'finish_time': 0}, {'state': 'active', 'start_time': 0, 'finish_time': 22, 'dvfs_mode': 'base'}, {'state': 'switching_off', 'start_time': 22, 'finish_time': 27, 'dvfs_mode': 'base'}, {'state': 'sleeping', 'start_time': 27, 'finish_time': 1118.0, 'dvfs_mode': 'base'}]"
