job_id,type,nodes,start_time,subtime,actual_finish_time,req_finish_time,terminated,finish_time
1,execution_finished,"[0, 1, 2, 3, 4]",14.0,14,18.0,15.0,False,18.0
2,execution_finished,"[5, 6, 7, 8, 9, 10]",15.0,15,22.0,16.0,False,22.0
5,execution_finished,"[5, 6, 7, 8, 9]",41.0,41,42.0,46.0,False,42.0
6,execution_finished,"[5, 6, 7, 8, 9]",48.0,48,49.0,49.0,False,49.0
9,execution_finished,"[15, 16, 17, 18]",55.0,50,56.0,56.0,False,56.0
7,execution_finished,"[5, 6, 7, 8]",50.0,50,69.0,72.0,False,69.0
10,execution_finished,"[5, 6, 7, 8, 15]",72.0,72,75.0,73.0,False,75.0
16,execution_finished,"[18, 19, 20]",101.0,96,103.0,105.0,False,103.0
11,execution_finished,"[5, 6, 7]",75.0,75,107.0,110.0,False,107.0
3,execution_finished,"[11, 12, 13]",15.0,15,113.0,114.0,False,113.0
4,execution_finished,"[0, 1, 2, 3, 4]",20.0,20,116.0,119.0,False,116.0
8,execution_finished,"[9, 10, 14]",55.0,50,121.0,121.0,False,121.0
15,execution_finished,"[11, 12, 13, 20]",113.0,85,122.0,126.0,False,122.0
17,execution_finished,"[9, 10, 11, 12, 13]",122.0,97,123.0,123.0,False,123.0
18,execution_finished,"[9, 10, 11, 12, 13, 14]",123.0,100,144.0,147.0,False,144.0
19,execution_finished,"[9, 10, 11, 12]",144.0,108,145.0,145.0,False,145.0
13,execution_finished,"[5, 6, 7, 18, 19]",107.0,78,150.0,159.0,False,150.0
21,execution_finished,"[5, 6, 7, 13, 14, 18]",150.0,116,151.0,151.0,False,151.0
14,execution_finished,"[0, 1, 2, 3, 4]",116.0,83,187.0,187.0,False,187.0
12,execution_finished,"[8, 15, 16, 17]",75.0,75,197.0,199.0,False,197.0
31,execution_finished,"[8, 15, 16, 17]",197.0,189,198.0,198.0,False,198.0
24,execution_finished,"[4, 18, 19, 20]",192.0,125,233.0,235.0,False,233.0
34,execution_finished,"[8, 15, 16]",200.0,200,253.0,256.0,False,253.0
20,execution_finished,"[9, 10, 11, 12]",145.0,115,255.0,249.0,False,255.0
