job_id,subtime,start_time,finish_time,waiting_time
2,3,3.0,4.0,0.0
5,23,23.0,24.0,0.0
1,2,2.0,28.0,0.0
4,20,20.0,41.0,0.0
3,18,18.0,49.0,0.0
6,30,30.0,83.0,0.0
12,108,119.0,120.0,11.0
9,93,93.0,133.0,0.0
8,62,67.0,142.0,5.0
15,120,142.0,143.0,22.0
16,128,143.0,144.0,15.0
7,56,56.0,151.0,0.0
11,99,133.0,189.0,34.0
13,114,158.0,194.0,44.0
10,94,99.0,201.0,5.0
14,114,189.0,204.0,75.0
18,139,194.0,213.0,55.0
19,154,201.0,214.0,47.0
21,163,194.0,234.0,31.0
22,197,204.0,235.0,7.0
25,235,235.0,236.0,0.0
24,212,214.0,248.0,2.0
26,237,237.0,254.0,0.0
27,253,253.0,258.0,0.0
20,156,201.0,275.0,45.0
17,138,194.0,276.0,56.0
23,210,214.0,277.0,4.0
28,261,261.0,279.0,0.0
30,291,291.0,304.0,0.0
31,294,294.0,309.0,0.0
32,309,309.0,310.0,0.0
34,331,336.0,337.0,5.0
35,332,337.0,338.0,5.0
29,274,279.0,364.0,5.0
37,365,365.0,401.0,0.0
36,360,360.0,403.0,0.0
33,324,324.0,418.0,0.0
40,384,418.0,419.0,34.0
39,379,406.0,435.0,27.0
42,406,435.0,436.0,29.0
43,419,436.0,477.0,17.0
38,376,381.0,480.0,5.0
45,461,480.0,486.0,19.0
44,443,477.0,497.0,34.0
41,388,419.0,516.0,31.0
48,506,515.0,550.0,9.0
49,511,516.0,555.0,5.0
51,520,555.0,556.0,35.0
46,488,488.0,560.0,0.0
47,496,501.0,575.0,5.0
54,559,575.0,586.0,16.0
56,591,591.0,592.0,0.0
52,522,556.0,606.0,34.0
53,526,561.0,622.0,35.0
58,627,627.0,628.0,0.0
50,516,516.0,640.0,0.0
60,652,660.0,676.0,8.0
59,629,629.0,703.0,0.0
62,665,703.0,704.0,38.0
57,605,606.0,707.0,1.0
55,584,586.0,750.0,2.0
61,661,676.0,785.0,15.0
63,673,704.0,785.0,31.0
68,751,785.0,786.0,34.0
70,756,786.0,787.0,30.0
65,724,735.0,798.0,11.0
64,716,750.0,819.0,34.0
71,765,819.0,820.0,54.0
73,802,825.0,831.0,23.0
69,755,798.0,846.0,43.0
74,802,831.0,873.0,29.0
66,735,785.0,880.0,50.0
67,747,785.0,882.0,38.0
76,821,880.0,919.0,59.0
77,836,882.0,920.0,46.0
78,850,919.0,920.0,69.0
72,799,820.0,939.0,21.0
79,869,920.0,974.0,51.0
82,887,939.0,983.0,52.0
87,926,983.0,984.0,57.0
75,815,873.0,991.0,58.0
91,942,983.0,997.0,41.0
80,874,925.0,1008.0,51.0
81,885,974.0,1052.0,89.0
84,908,1008.0,1057.0,100.0
86,916,1057.0,1058.0,141.0
88,930,1058.0,1059.0,128.0
85,908,1057.0,1091.0,149.0
90,939,1091.0,1114.0,152.0
92,942,1114.0,1128.0,172.0
93,945,1119.0,1129.0,174.0
94,970,1128.0,1129.0,158.0
89,937,1059.0,1131.0,122.0
98,1012,1057.0,1133.0,45.0
83,897,991.0,1142.0,94.0
97,991,1142.0,1198.0,151.0
95,972,1129.0,1202.0,157.0
96,973,1131.0,1218.0,158.0
99,1014,1203.0,1260.0,189.0
100,1023,1202.0,1274.0,179.0
