time,sleeping,sleeping_nodes,switching_on,switching_on_nodes,switching_off,switching_off_nodes,idle,idle_nodes,computing,computing_nodes
0,0,[],0,[],0,[],8,"[0, 1, 2, 3, 4, 5, 6, 7]",0,[]
3,0,[],0,[],0,[],6,"[2, 3, 4, 5, 6, 7]",2,"[{'job_id': 1, 'starting_time': 3, 'finish_time': 155, 'nodes': [0, 1]}]"
35,0,[],0,[],0,[],2,"[6, 7]",6,"[{'job_id': 1, 'starting_time': 3, 'finish_time': 155, 'nodes': [0, 1]}, {'job_id': 2, 'starting_time': 35, 'finish_time': 183, 'nodes': [2, 3, 4, 5]}]"
155,0,[],0,[],0,[],0,[],8,"[{'job_id': 2, 'starting_time': 35, 'finish_time': 183, 'nodes': [2, 3, 4, 5]}, {'job_id': 3, 'starting_time': 155, 'finish_time': 306, 'nodes': [0, 1, 6, 7]}]"
183,0,[],0,[],0,[],1,[5],7,"[{'job_id': 3, 'starting_time': 155, 'finish_time': 306, 'nodes': [0, 1, 6, 7]}, {'job_id': 4, 'starting_time': 183, 'finish_time': 334, 'nodes': [2, 3, 4]}]"
306,0,[],0,[],0,[],2,"[6, 7]",6,"[{'job_id': 4, 'starting_time': 183, 'finish_time': 334, 'nodes': [2, 3, 4]}, {'job_id': 5, 'starting_time': 306, 'finish_time': 455, 'nodes': [0, 1, 5]}]"
334,0,[],0,[],0,[],1,[7],7,"[{'job_id': 5, 'starting_time': 306, 'finish_time': 455, 'nodes': [0, 1, 5]}, {'job_id': 6, 'starting_time': 334, 'finish_time': 481, 'nodes': [2, 3, 4, 6]}]"
455,0,[],0,[],0,[],0,[],8,"[{'job_id': 6, 'starting_time': 334, 'finish_time': 481, 'nodes': [2, 3, 4, 6]}, {'job_id': 7, 'starting_time': 455, 'finish_time': 604, 'nodes': [0, 1, 5, 7]}]"
481,0,[],0,[],0,[],1,[6],7,"[{'job_id': 7, 'starting_time': 455, 'finish_time': 604, 'nodes': [0, 1, 5, 7]}, {'job_id': 8, 'starting_time': 481, 'finish_time': 633, 'nodes': [2, 3, 4]}]"
604,0,[],0,[],0,[],2,"[6, 7]",6,"[{'job_id': 8, 'starting_time': 481, 'finish_time': 633, 'nodes': [2, 3, 4]}, {'job_id': 9, 'starting_time': 604, 'finish_time': 750, 'nodes': [0, 1, 5]}]"
633,0,[],0,[],0,[],1,[7],7,"[{'job_id': 9, 'starting_time': 604, 'finish_time': 750, 'nodes': [0, 1, 5]}, {'job_id': 10, 'starting_time': 633, 'finish_time': 781, 'nodes': [2, 3, 4, 6]}]"
750,0,[],0,[],0,[],0,[],8,"[{'job_id': 10, 'starting_time': 633, 'finish_time': 781, 'nodes': [2, 3, 4, 6]}, {'job_id': 11, 'starting_time': 750, 'finish_time': 900, 'nodes': [0, 1, 5, 7]}]"
781,0,[],0,[],0,[],0,[],8,"[{'job_id': 11, 'starting_time': 750, 'finish_time': 900, 'nodes': [0, 1, 5, 7]}, {'job_id': 12, 'starting_time': 781, 'finish_time': 931, 'nodes': [2, 3, 4, 6]}]"
900,0,[],0,[],0,[],1,[7],7,"[{'job_id': 12, 'starting_time': 781, 'finish_time': 931, 'nodes': [2, 3, 4, 6]}, {'job_id': 13, 'starting_time': 900, 'finish_time': 1047, 'nodes': [0, 1, 5]}]"
931,0,[],0,[],0,[],0,[],8,"[{'job_id': 13, 'starting_time': 900, 'finish_time': 1047, 'nodes': [0, 1, 5]}, {'job_id': 14, 'starting_time': 931, 'finish_time': 1079, 'nodes': [2, 3]}, {'job_id': 15, 'starting_time': 931, 'finish_time': 1082, 'nodes': [4, 6, 7]}]"
1047,0,[],0,[],0,[],0,[],8,"[{'job_id': 14, 'starting_time': 931, 'finish_time': 1079, 'nodes': [2, 3]}, {'job_id': 15, 'starting_time': 931, 'finish_time': 1082, 'nodes': [4, 6, 7]}, {'job_id': 16, 'starting_time': 1047, 'finish_time': 1195, 'nodes': [0, 1, 5]}]"
1079,0,[],0,[],0,[],2,"[2, 3]",6,"[{'job_id': 15, 'starting_time': 931, 'finish_time': 1082, 'nodes': [4, 6, 7]}, {'job_id': 16, 'starting_time': 1047, 'finish_time': 1195, 'nodes': [0, 1, 5]}]"
1082,0,[],0,[],0,[],2,"[6, 7]",6,"[{'job_id': 16, 'starting_time': 1047, 'finish_time': 1195, 'nodes': [0, 1, 5]}, {'job_id': 17, 'starting_time': 1082, 'finish_time': 1235, 'nodes': [2, 3, 4]}]"
1195,0,[],0,[],0,[],1,[7],7,"[{'job_id': 17, 'starting_time': 1082, 'finish_time': 1235, 'nodes': [2, 3, 4]}, {'job_id': 18, 'starting_time': 1195, 'finish_time': 1346, 'nodes': [0, 1, 5, 6]}]"
1235,0,[],0,[],0,[],2,"[4, 7]",6,"[{'job_id': 18, 'starting_time': 1195, 'finish_time': 1346, 'nodes': [0, 1, 5, 6]}, {'job_id': 19, 'starting_time': 1235, 'finish_time': 1385, 'nodes': [2, 3]}]"
1346,0,[],0,[],0,[],3,"[5, 6, 7]",5,"[{'job_id': 19, 'starting_time': 1235, 'finish_time': 1385, 'nodes': [2, 3]}, {'job_id': 20, 'starting_time': 1346, 'finish_time': 1497, 'nodes': [0, 1, 4]}]"
1385,0,[],0,[],0,[],5,"[2, 3, 5, 6, 7]",3,"[{'job_id': 20, 'starting_time': 1346, 'finish_time': 1497, 'nodes': [0, 1, 4]}]"
1497,0,[],0,[],0,[],8,"[0, 1, 2, 3, 4, 5, 6, 7]",0,[]
