time,energy,event_type,wattmin,epower
1,1520.0,p,1520.0,1520.0
1,1520.0,p,1520.0,1520.0
1,1520.0,p,1520.0,1520.0
1,1520.0,s,1520.0,1520.0
1,1520.0,p,1520.0,1520.0
1,1520.0,p,1520.0,1520.0
1,1520.0,p,1520.0,1520.0
1,1520.0,p,1520.0,1520.0
1,1520.0,s,1520.0,1520.0
152,231040.0,p,1520.0,1520.0
152,231040.0,p,1520.0,1520.0
152,231040.0,p,1520.0,1520.0
152,231040.0,e,1520.0,1520.0
152,231040.0,p,1520.0,1520.0
152,231040.0,p,1520.0,1520.0
152,231040.0,p,1520.0,1520.0
152,231040.0,p,1520.0,1520.0
152,231040.0,s,1520.0,1520.0
154,234080.0,p,1520.0,1520.0
154,234080.0,p,1520.0,1520.0
154,234080.0,p,1520.0,1520.0
154,234080.0,p,1520.0,1520.0
154,234080.0,e,1520.0,1520.0
154,234080.0,p,1520.0,1520.0
154,234080.0,p,1520.0,1520.0
154,234080.0,p,1520.0,1520.0
154,234080.0,p,1520.0,1520.0
154,234080.0,s,1520.0,1520.0
298,452960.0,p,1520.0,1520.0
298,452960.0,p,1520.0,1520.0
298,452960.0,p,1520.0,1520.0
298,452960.0,p,1520.0,1520.0
298,452960.0,e,1520.0,1520.0
298,452960.0,p,1520.0,1520.0
298,452960.0,p,1520.0,1520.0
298,452960.0,p,1520.0,1520.0
298,452960.0,p,1520.0,1520.0
298,452960.0,s,1520.0,1520.0
303,460560.0,p,1520.0,1520.0
303,460560.0,p,1520.0,1520.0
303,460560.0,p,1520.0,1520.0
303,460560.0,p,1520.0,1520.0
303,460560.0,e,1520.0,1520.0
303,460560.0,p,1520.0,1520.0
303,460560.0,p,1520.0,1520.0
303,460560.0,s,1520.0,1520.0
303,460560.0,p,1520.0,1520.0
303,460560.0,p,1520.0,1520.0
303,460560.0,s,1520.0,1520.0
448,680960.0,p,1520.0,1520.0
448,680960.0,p,1520.0,1520.0
448,680960.0,p,1520.0,1520.0
448,680960.0,p,1520.0,1520.0
448,680960.0,e,1520.0,1520.0
448,680960.0,p,1520.0,1520.0
448,680960.0,p,1520.0,1520.0
448,680960.0,p,1520.0,1520.0
448,680960.0,s,1520.0,1520.0
450,684000.0,p,1520.0,1520.0
450,684000.0,p,1520.0,1520.0
450,684000.0,e,1520.0,1520.0
450,684000.0,p,1520.0,1520.0
450,684000.0,p,1520.0,1520.0
450,684000.0,p,1520.0,1520.0
450,684000.0,s,1520.0,1520.0
453,688560.0,p,1520.0,1520.0
453,688560.0,p,1520.0,1520.0
453,688560.0,e,1520.0,1520.0
453,688560.0,p,1520.0,1520.0
453,688560.0,s,1520.0,1520.0
597,907440.0,p,1520.0,1520.0
597,907440.0,p,1520.0,1520.0
597,907440.0,p,1520.0,1520.0
597,907440.0,e,1520.0,1520.0
597,907440.0,p,1520.0,1520.0
597,907440.0,p,1520.0,1520.0
597,907440.0,p,1520.0,1520.0
597,907440.0,p,1520.0,1520.0
597,907440.0,s,1520.0,1520.0
601,913520.0,p,1520.0,1520.0
601,913520.0,p,1520.0,1520.0
601,913520.0,p,1520.0,1520.0
601,913520.0,e,1520.0,1520.0
603,916560.0,p,1520.0,1520.0
603,916560.0,e,1520.0,1520.0
603,916560.0,p,1520.0,1520.0
603,916560.0,p,1520.0,1520.0
603,916560.0,p,1520.0,1520.0
603,916560.0,p,1520.0,1520.0
603,916560.0,s,1520.0,1520.0
748,1136960.0,p,1520.0,1520.0
748,1136960.0,p,1520.0,1520.0
748,1136960.0,p,1520.0,1520.0
748,1136960.0,p,1520.0,1520.0
748,1136960.0,e,1520.0,1520.0
748,1136960.0,p,1520.0,1520.0
748,1136960.0,p,1520.0,1520.0
748,1136960.0,p,1520.0,1520.0
748,1136960.0,s,1520.0,1520.0
755,1147600.0,p,1520.0,1520.0
755,1147600.0,p,1520.0,1520.0
755,1147600.0,p,1520.0,1520.0
755,1147600.0,p,1520.0,1520.0
755,1147600.0,e,1520.0,1520.0
755,1147600.0,p,1520.0,1520.0
755,1147600.0,p,1520.0,1520.0
755,1147600.0,p,1520.0,1520.0
755,1147600.0,p,1520.0,1520.0
755,1147600.0,s,1520.0,1520.0
899,1366480.0,p,1520.0,1520.0
899,1366480.0,p,1520.0,1520.0
899,1366480.0,p,1520.0,1520.0
899,1366480.0,e,1520.0,1520.0
899,1366480.0,p,1520.0,1520.0
899,1366480.0,p,1520.0,1520.0
899,1366480.0,p,1520.0,1520.0
899,1366480.0,p,1520.0,1520.0
899,1366480.0,s,1520.0,1520.0
904,1374080.0,p,1520.0,1520.0
904,1374080.0,p,1520.0,1520.0
904,1374080.0,p,1520.0,1520.0
904,1374080.0,p,1520.0,1520.0
904,1374080.0,e,1520.0,1520.0
904,1374080.0,p,1520.0,1520.0
904,1374080.0,p,1520.0,1520.0
904,1374080.0,s,1520.0,1520.0
904,1374080.0,p,1520.0,1520.0
904,1374080.0,p,1520.0,1520.0
904,1374080.0,s,1520.0,1520.0
1049,1594480.0,p,1520.0,1520.0
1049,1594480.0,p,1520.0,1520.0
1049,1594480.0,p,1520.0,1520.0
1049,1594480.0,p,1520.0,1520.0
1049,1594480.0,e,1520.0,1520.0
1049,1594480.0,p,1520.0,1520.0
1049,1594480.0,p,1520.0,1520.0
1049,1594480.0,p,1520.0,1520.0
1049,1594480.0,p,1520.0,1520.0
1049,1594480.0,s,1520.0,1520.0
1053,1600560.0,p,1520.0,1520.0
1053,1600560.0,p,1520.0,1520.0
1053,1600560.0,e,1520.0,1520.0
1057,1606640.0,p,1520.0,1520.0
1057,1606640.0,p,1520.0,1520.0
1057,1606640.0,e,1520.0,1520.0
1057,1606640.0,p,1520.0,1520.0
1057,1606640.0,p,1520.0,1520.0
1057,1606640.0,p,1520.0,1520.0
1057,1606640.0,p,1520.0,1520.0
1057,1606640.0,s,1520.0,1520.0
1199,1822480.0,p,1520.0,1520.0
1199,1822480.0,p,1520.0,1520.0
1199,1822480.0,p,1520.0,1520.0
1199,1822480.0,p,1520.0,1520.0
1199,1822480.0,e,1520.0,1520.0
1199,1822480.0,p,1520.0,1520.0
1199,1822480.0,p,1520.0,1520.0
1199,1822480.0,p,1520.0,1520.0
1199,1822480.0,s,1520.0,1520.0
1206,1833120.0,p,1520.0,1520.0
1206,1833120.0,p,1520.0,1520.0
1206,1833120.0,p,1520.0,1520.0
1206,1833120.0,p,1520.0,1520.0
1206,1833120.0,e,1520.0,1520.0
1349,2050480.0,p,1520.0,1520.0
1349,2050480.0,p,1520.0,1520.0
1349,2050480.0,p,1520.0,1520.0
1349,2050480.0,e,1520.0,1520.0
