job_id,workload_name,profile,submission_time,requested_number_of_resources,requested_time,success,final_state,starting_time,execution_time,finish_time,waiting_time,turnaround_time,stretch,allocated_resources,consumed_energy
1,w0,100,1.0,3,151,0,COMPLETED_WALLTIME_REACHED,1.0,151.0,152.0,0.0,151.0,0.0,0-2,-1
2,w0,100,1.0,4,153,0,COMPLETED_WALLTIME_REACHED,1.0,153.0,154.0,0.0,153.0,0.0,3-6,-1
3,w0,100,23.0,4,146,0,COMPLETED_WALLTIME_REACHED,152.0,146.0,298.0,129.0,275.0,0.8835616438356164,0-2 7,-1
4,w0,100,30.0,4,149,0,COMPLETED_WALLTIME_REACHED,154.0,149.0,303.0,124.0,273.0,0.8322147651006712,3-6,-1
5,w0,100,34.0,4,150,0,COMPLETED_WALLTIME_REACHED,298.0,150.0,448.0,264.0,414.0,1.76,0-2 7,-1
6,w0,100,35.0,2,147,0,COMPLETED_WALLTIME_REACHED,303.0,147.0,450.0,268.0,415.0,1.8231292517006803,3-4,-1
11,w0,100,58.0,2,150,0,COMPLETED_WALLTIME_REACHED,303.0,150.0,453.0,245.0,395.0,1.6333333333333333,5-6,-1
7,w0,100,36.0,3,149,0,COMPLETED_WALLTIME_REACHED,448.0,149.0,597.0,412.0,561.0,2.7651006711409396,0-2,-1
8,w0,100,42.0,3,151,0,COMPLETED_WALLTIME_REACHED,450.0,151.0,601.0,408.0,559.0,2.7019867549668874,3-4 7,-1
18,w0,100,88.0,1,150,0,COMPLETED_WALLTIME_REACHED,453.0,150.0,603.0,365.0,515.0,2.433333333333333,5,-1
9,w0,100,50.0,4,151,0,COMPLETED_WALLTIME_REACHED,597.0,151.0,748.0,547.0,698.0,3.622516556291391,0-2 6,-1
10,w0,100,55.0,4,152,0,COMPLETED_WALLTIME_REACHED,603.0,152.0,755.0,548.0,700.0,3.6052631578947367,3-5 7,-1
12,w0,100,66.0,3,151,0,COMPLETED_WALLTIME_REACHED,748.0,151.0,899.0,682.0,833.0,4.516556291390729,0-2,-1
13,w0,100,67.0,4,149,0,COMPLETED_WALLTIME_REACHED,755.0,149.0,904.0,688.0,837.0,4.617449664429531,3-6,-1
14,w0,100,70.0,4,150,0,COMPLETED_WALLTIME_REACHED,899.0,150.0,1049.0,829.0,979.0,5.526666666666666,0-2 7,-1
19,w0,100,89.0,2,149,0,COMPLETED_WALLTIME_REACHED,904.0,149.0,1053.0,815.0,964.0,5.469798657718121,5-6,-1
15,w0,100,70.0,2,153,0,COMPLETED_WALLTIME_REACHED,904.0,153.0,1057.0,834.0,987.0,5.450980392156863,3-4,-1
16,w0,100,82.0,4,150,0,COMPLETED_WALLTIME_REACHED,1049.0,150.0,1199.0,967.0,1117.0,6.446666666666666,0-2 7,-1
17,w0,100,84.0,4,149,0,COMPLETED_WALLTIME_REACHED,1057.0,149.0,1206.0,973.0,1122.0,6.530201342281879,3-6,-1
20,w0,100,93.0,3,150,0,COMPLETED_WALLTIME_REACHED,1199.0,150.0,1349.0,1106.0,1256.0,7.373333333333333,0-2,-1
