time,nb_sleeping,nb_switching_on,nb_switching_off,nb_idle,nb_computing
3,0,0,0,6,2
35,0,0,0,2,6
155,0,0,0,4,4
155,0,0,0,0,8
183,0,0,0,4,4
183,0,0,0,1,7
306,0,0,0,5,3
306,0,0,0,2,6
334,0,0,0,5,3
334,0,0,0,1,7
455,0,0,0,4,4
455,0,0,0,0,8
481,0,0,0,4,4
481,0,0,0,1,7
604,0,0,0,5,3
604,0,0,0,2,6
633,0,0,0,5,3
633,0,0,0,1,7
750,0,0,0,4,4
750,0,0,0,0,8
781,0,0,0,4,4
781,0,0,0,0,8
900,0,0,0,4,4
900,0,0,0,1,7
931,0,0,0,5,3
931,0,0,0,3,5
931,0,0,0,0,8
1047,0,0,0,3,5
1047,0,0,0,0,8
1079,0,0,0,2,6
1079,0,0,0,0,8
1082,0,0,0,3,5
1082,0,0,0,0,8
1195,0,0,0,3,5
1229,0,0,0,5,3
1229,0,0,0,1,7
1235,0,0,0,4,4
1235,0,0,0,1,7
1380,0,0,0,5,3
1386,0,0,0,8,0
