time,energy,event_type,wattmin,epower
1,760.0,p,760.0,760.0
1,760.0,p,760.0,760.0
1,760.0,p,760.0,760.0
1,760.0,s,760.0,760.0
30,22800.0,p,760.0,760.0
35,25695.0,p,579.0,579.0
152,93438.0,p,579.0,579.0
152,93438.0,p,579.0,579.0
152,93438.0,p,579.0,579.0
152,93438.0,e,579.0,579.0
152,93438.0,p,579.0,579.0
157,97238.0,p,760.0,760.0
157,97238.0,p,760.0,760.0
157,97238.0,p,760.0,760.0
157,97238.0,p,760.0,760.0
157,97238.0,p,760.0,760.0
157,97238.0,s,760.0,760.0
310,213518.0,p,760.0,760.0
310,213518.0,p,760.0,760.0
310,213518.0,p,760.0,760.0
310,213518.0,p,760.0,760.0
310,213518.0,e,760.0,760.0
310,213518.0,p,760.0,760.0
310,213518.0,p,760.0,760.0
310,213518.0,p,760.0,760.0
310,213518.0,p,760.0,760.0
310,213518.0,s,760.0,760.0
456,324478.0,p,760.0,760.0
456,324478.0,p,760.0,760.0
456,324478.0,p,760.0,760.0
456,324478.0,p,760.0,760.0
456,324478.0,e,760.0,760.0
456,324478.0,p,760.0,760.0
456,324478.0,p,760.0,760.0
456,324478.0,p,760.0,760.0
456,324478.0,p,760.0,760.0
456,324478.0,s,760.0,760.0
605,437718.0,p,760.0,760.0
605,437718.0,p,760.0,760.0
605,437718.0,p,760.0,760.0
605,437718.0,p,760.0,760.0
605,437718.0,e,760.0,760.0
605,437718.0,p,760.0,760.0
605,437718.0,p,760.0,760.0
605,437718.0,p,760.0,760.0
605,437718.0,p,760.0,760.0
605,437718.0,s,760.0,760.0
755,551718.0,p,760.0,760.0
755,551718.0,p,760.0,760.0
755,551718.0,p,760.0,760.0
755,551718.0,p,760.0,760.0
755,551718.0,e,760.0,760.0
755,551718.0,p,760.0,760.0
755,551718.0,p,760.0,760.0
755,551718.0,s,760.0,760.0
755,551718.0,p,760.0,760.0
755,551718.0,s,760.0,760.0
785,574518.0,p,760.0,760.0
790,577413.0,p,579.0,579.0
902,642261.0,p,579.0,579.0
902,642261.0,p,579.0,579.0
902,642261.0,e,579.0,579.0
902,642261.0,p,579.0,579.0
905,644541.0,p,760.0,760.0
905,644541.0,e,760.0,760.0
907,646061.0,p,760.0,760.0
907,646061.0,p,760.0,760.0
907,646061.0,p,760.0,760.0
907,646061.0,p,760.0,760.0
907,646061.0,s,760.0,760.0
935,667341.0,p,760.0,760.0
940,670236.0,p,579.0,579.0
1056,737400.0,p,579.0,579.0
1056,737400.0,p,579.0,579.0
1056,737400.0,p,579.0,579.0
1056,737400.0,e,579.0,579.0
1056,737400.0,p,579.0,579.0
1061,741200.0,p,760.0,760.0
1061,741200.0,p,760.0,760.0
1061,741200.0,p,760.0,760.0
1061,741200.0,p,760.0,760.0
1061,741200.0,s,760.0,760.0
1086,760200.0,p,760.0,760.0
1091,763095.0,p,579.0,579.0
1212,833154.0,p,579.0,579.0
1212,833154.0,p,579.0,579.0
1212,833154.0,p,579.0,579.0
1212,833154.0,e,579.0,579.0
1212,833154.0,p,579.0,579.0
1217,836954.0,p,760.0,760.0
