time,nb_sleeping,nb_switching_on,nb_switching_off,nb_idle,nb_computing,nb_unavailable
0,0,0,0,4,0,0
1,0,0,0,1,3,0
30,0,0,1,0,3,0
35,1,0,0,0,3,0
152,0,1,0,3,0,0
157,0,0,0,0,4,0
310,0,0,0,0,4,0
456,0,0,0,0,4,0
605,0,0,0,0,4,0
755,0,0,0,1,3,0
785,0,0,1,0,3,0
790,1,0,0,0,3,0
902,0,1,0,2,1,0
905,0,1,0,3,0,0
907,0,0,0,1,3,0
935,0,0,1,0,3,0
940,1,0,0,0,3,0
1056,0,1,0,3,0,0
1061,0,0,0,1,3,0
1086,0,0,1,0,3,0
1091,1,0,0,0,3,0
1212,0,1,0,3,0,0
1217,0,0,0,0,4,0
1368,0,0,0,0,4,0
1520,0,0,0,0,4,0
1669,0,0,0,2,2,0
1670,0,0,0,1,3,0
1699,0,0,1,0,3,0
1704,1,0,0,0,3,0
1821,0,1,0,3,0,0
1826,0,0,0,0,4,0
1975,0,0,0,0,4,0
2125,0,0,0,2,2,0
2155,0,0,2,0,2,0
2160,2,0,0,0,2,0
2278,0,2,0,2,0,0
2283,0,0,0,0,4,0
2433,0,0,0,0,4,0
2582,0,0,0,1,3,0
2612,0,0,1,0,3,0
2617,1,0,0,0,3,0
2732,1,0,0,3,0,0
2762,1,0,3,0,0,0
2767,4,0,0,0,0,0
