job_id,workload_name,profile,submission_time,requested_number_of_resources,requested_time,success,final_state,starting_time,execution_time,finish_time,waiting_time,turnaround_time,stretch,allocated_resources,consumed_energy
1,w0,100,3.0,2,152,0,COMPLETED_WALLTIME_REACHED,3.0,152.0,155.0,0.0,152.0,0.0,0-1,-1
2,w0,100,35.0,4,148,0,COMPLETED_WALLTIME_REACHED,35.0,148.0,183.0,0.0,148.0,0.0,2-5,-1
3,w0,100,46.0,4,151,0,COMPLETED_WALLTIME_REACHED,155.0,151.0,306.0,109.0,260.0,0.7218543046357616,0-1 6-7,-1
4,w0,100,60.0,3,151,0,COMPLETED_WALLTIME_REACHED,183.0,151.0,334.0,123.0,274.0,0.8145695364238411,2-4,-1
5,w0,100,72.0,3,149,0,COMPLETED_WALLTIME_REACHED,306.0,149.0,455.0,234.0,383.0,1.570469798657718,0-1 5,-1
6,w0,100,73.0,4,147,0,COMPLETED_WALLTIME_REACHED,334.0,147.0,481.0,261.0,408.0,1.7755102040816326,2-4 6,-1
7,w0,100,79.0,4,149,0,COMPLETED_WALLTIME_REACHED,455.0,149.0,604.0,376.0,525.0,2.523489932885906,0-1 5 7,-1
8,w0,100,88.0,3,152,0,COMPLETED_WALLTIME_REACHED,481.0,152.0,633.0,393.0,545.0,2.585526315789474,2-4,-1
9,w0,100,92.0,3,146,0,COMPLETED_WALLTIME_REACHED,604.0,146.0,750.0,512.0,658.0,3.506849315068493,0-1 5,-1
10,w0,100,95.0,4,148,0,COMPLETED_WALLTIME_REACHED,633.0,148.0,781.0,538.0,686.0,3.635135135135135,2-4 6,-1
11,w0,100,99.0,4,150,0,COMPLETED_WALLTIME_REACHED,750.0,150.0,900.0,651.0,801.0,4.34,0-1 5 7,-1
12,w0,100,100.0,4,150,0,COMPLETED_WALLTIME_REACHED,781.0,150.0,931.0,681.0,831.0,4.54,2-4 6,-1
13,w0,100,104.0,3,147,0,COMPLETED_WALLTIME_REACHED,900.0,147.0,1047.0,796.0,943.0,5.414965986394558,0-1 5,-1
14,w0,100,113.0,2,148,0,COMPLETED_WALLTIME_REACHED,931.0,148.0,1079.0,818.0,966.0,5.527027027027027,2-3,-1
15,w0,100,113.0,3,151,0,COMPLETED_WALLTIME_REACHED,931.0,151.0,1082.0,818.0,969.0,5.417218543046357,4 6-7,-1
16,w0,100,121.0,3,148,0,COMPLETED_WALLTIME_REACHED,1047.0,148.0,1195.0,926.0,1074.0,6.256756756756757,0-1 5,-1
19,w0,100,138.0,2,150,0,COMPLETED_WALLTIME_REACHED,1079.0,150.0,1229.0,941.0,1091.0,6.273333333333333,2-3,-1
17,w0,100,128.0,3,153,0,COMPLETED_WALLTIME_REACHED,1082.0,153.0,1235.0,954.0,1107.0,6.235294117647059,4 6-7,-1
18,w0,100,137.0,4,151,0,COMPLETED_WALLTIME_REACHED,1229.0,151.0,1380.0,1092.0,1243.0,7.231788079470198,0-3,-1
20,w0,100,140.0,3,151,0,COMPLETED_WALLTIME_REACHED,1235.0,151.0,1386.0,1095.0,1246.0,7.251655629139073,4-6,-1
