type,starting_time,finish_time,allocated_resources,job_id
idle,0,3,0 1 2 3 4 5 6 7,-1
computing,3,155,0 1,1
idle,3,35,2 3 4 5 6 7,-1
computing,35,183,2 3 4 5,2
idle,35,155,6 7,-1
computing,155,306,0 1 6 7,3
computing,183,334,2 3 4,4
idle,183,306,5,-1
computing,306,455,0 1 5,5
idle,306,334,6 7,-1
computing,334,481,2 3 4 6,6
idle,334,455,7,-1
computing,455,604,0 1 5 7,7
computing,481,633,2 3 4,8
idle,481,604,6,-1
computing,604,750,0 1 5,9
idle,604,633,6 7,-1
computing,633,781,2 3 4 6,10
idle,633,750,7,-1
computing,750,900,0 1 5 7,11
computing,781,931,2 3 4 6,12
computing,900,1047,0 1 5,13
idle,900,931,7,-1
computing,931,1079,2 3,14
computing,931,1082,4 6 7,15
computing,1047,1195,0 1 5,16
computing,1079,1229,2 3,19
computing,1082,1235,4 6 7,17
idle,1195,1229,0 1 5,-1
computing,1229,1380,0 1 2 3,18
idle,1229,1235,5,-1
computing,1235,1386,4 5 6,20
idle,1235,1380,7,-1
idle,1380,1386,0 1 2 3 7,-1
idle,1386,1386,0 1 2 3 4 5 6 7,-1
