time,sleeping,sleeping_nodes,switching_on,switching_on_nodes,switching_off,switching_off_nodes,idle,idle_nodes,computing,computing_nodes
0,0,[],0,[],0,[],4,"[0, 1, 2, 3]",0,[]
19,0,[],0,[],0,[],1,[3],3,"[{'job_id': 1, 'starting_time': 19, 'finish_time': 75, 'nodes': [0, 1, 2]}]"
30,0,[],0,[],1,[3],0,[],3,"[{'job_id': 1, 'starting_time': 19, 'finish_time': 75, 'nodes': [0, 1, 2]}]"
35,1,[3],0,[],0,[],0,[],3,"[{'job_id': 1, 'starting_time': 19, 'finish_time': 75, 'nodes': [0, 1, 2]}]"
75,1,[3],0,[],0,[],0,[],3,"[{'job_id': 2, 'starting_time': 75, 'finish_time': 122, 'nodes': [0, 1, 2]}]"
122,1,[3],0,[],0,[],0,[],3,"[{'job_id': 3, 'starting_time': 122, 'finish_time': 173, 'nodes': [0, 1, 2]}]"
173,0,[],1,[3],0,[],1,[2],2,"[{'job_id': 4, 'starting_time': 173, 'finish_time': 224, 'nodes': [0, 1]}]"
178,0,[],0,[],0,[],0,[],4,"[{'job_id': 4, 'starting_time': 173, 'finish_time': 224, 'nodes': [0, 1]}, {'job_id': 8, 'starting_time': 178, 'finish_time': 225, 'nodes': [2, 3]}]"
224,0,[],0,[],0,[],2,"[0, 1]",2,"[{'job_id': 8, 'starting_time': 178, 'finish_time': 225, 'nodes': [2, 3]}]"
225,0,[],0,[],0,[],1,[3],3,"[{'job_id': 5, 'starting_time': 225, 'finish_time': 277, 'nodes': [0, 1, 2]}]"
255,0,[],0,[],1,[3],0,[],3,"[{'job_id': 5, 'starting_time': 225, 'finish_time': 277, 'nodes': [0, 1, 2]}]"
260,1,[3],0,[],0,[],0,[],3,"[{'job_id': 5, 'starting_time': 225, 'finish_time': 277, 'nodes': [0, 1, 2]}]"
277,1,[3],0,[],0,[],0,[],3,"[{'job_id': 6, 'starting_time': 277, 'finish_time': 326, 'nodes': [0, 1, 2]}]"
326,1,[3],0,[],0,[],0,[],3,"[{'job_id': 7, 'starting_time': 326, 'finish_time': 381, 'nodes': [0, 1, 2]}]"
381,1,[3],0,[],0,[],0,[],3,"[{'job_id': 9, 'starting_time': 381, 'finish_time': 432, 'nodes': [0, 1, 2]}]"
432,1,[3],0,[],0,[],0,[],3,"[{'job_id': 10, 'starting_time': 432, 'finish_time': 479, 'nodes': [0, 1, 2]}]"
479,1,[3],0,[],0,[],3,"[0, 1, 2]",0,[]
509,1,[3],0,[],3,"[0, 1, 2]",0,[],0,[]
514,4,"[0, 1, 2, 3]",0,[],0,[],0,[],0,[]
