job_id,workload_name,profile,submission_time,requested_number_of_resources,requested_time,success,final_state,starting_time,execution_time,finish_time,waiting_time,turnaround_time,stretch,allocated_resources,consumed_energy
1,w0,100,19.0,3,56,0,COMPLETED_WALLTIME_REACHED,19.0,56.0,75.0,0.0,56.0,0.0,0-2,-1
2,w0,100,21.0,3,47,0,COMPLETED_WALLTIME_REACHED,75.0,47.0,122.0,54.0,101.0,1.148936170212766,0-2,-1
3,w0,100,25.0,3,51,0,COMPLETED_WALLTIME_REACHED,122.0,51.0,173.0,97.0,148.0,1.9019607843137254,0-2,-1
4,w0,100,29.0,2,51,0,COMPLETED_WALLTIME_REACHED,173.0,51.0,224.0,144.0,195.0,2.823529411764706,0-1,-1
8,w0,100,75.0,2,47,0,COMPLETED_WALLTIME_REACHED,178.0,47.0,225.0,103.0,150.0,2.1914893617021276,2-3,-1
5,w0,100,41.0,3,52,0,COMPLETED_WALLTIME_REACHED,225.0,52.0,277.0,184.0,236.0,3.5384615384615383,0-2,-1
6,w0,100,50.0,3,49,0,COMPLETED_WALLTIME_REACHED,277.0,49.0,326.0,227.0,276.0,4.63265306122449,0-2,-1
7,w0,100,53.0,3,55,0,COMPLETED_WALLTIME_REACHED,326.0,55.0,381.0,273.0,328.0,4.963636363636364,0-2,-1
9,w0,100,76.0,3,51,0,COMPLETED_WALLTIME_REACHED,381.0,51.0,432.0,305.0,356.0,5.980392156862745,0-2,-1
10,w0,100,79.0,3,47,0,COMPLETED_WALLTIME_REACHED,432.0,47.0,479.0,353.0,400.0,7.51063829787234,0-2,-1
