type,starting_time,finish_time,allocated_resources,job_id,submission_time
idle,0,1,0 1 2,-1,0
idle,0,30,3,-1,0
computing,1,152,0 1 2,1,1
switching_off,30,35,3,-2,30
sleeping,35,152,3,-4,35
idle,152,157,0 1 2,-1,152
switching_on,152,157,3,-3,152
idle,157,157,3,-1,157
computing,157,310,0 1 2 3,2,1
idle,310,310,0 1 2 3,-1,310
computing,310,456,0 1 2 3,3,23
idle,456,456,0 1 2 3,-1,456
computing,456,605,0 1 2 3,4,30
idle,605,605,0 1 2 3,-1,605
computing,605,755,0 1 2 3,5,34
idle,755,755,0 1 2,-1,755
idle,755,785,3,-1,755
computing,755,902,0 1,6,35
computing,755,905,2,18,88
switching_off,785,790,3,-2,785
sleeping,790,902,3,-4,790
idle,902,907,0 1,-1,902
switching_on,902,907,3,-3,902
idle,905,935,2,-1,905
idle,907,907,3,-1,907
computing,907,1056,0 1 3,7,36
switching_off,935,940,2,-2,935
sleeping,940,1056,2,-4,940
idle,1056,1061,0 1,-1,1056
switching_on,1056,1061,2,-3,1056
idle,1056,1086,3,-1,1056
idle,1061,1061,2,-1,1061
computing,1061,1212,0 1 2,8,42
switching_off,1086,1091,3,-2,1086
sleeping,1091,1212,3,-4,1091
idle,1212,1217,0 1 2,-1,1212
switching_on,1212,1217,3,-3,1212
idle,1217,1217,3,-1,1217
computing,1217,1368,0 1 2 3,9,50
idle,1368,1368,0 1 2 3,-1,1368
computing,1368,1520,0 1 2 3,10,55
idle,1520,1520,0 1 2 3,-1,1520
computing,1520,1669,2 3,19,89
computing,1520,1670,0 1,11,58
idle,1669,1670,2,-1,1669
idle,1669,1699,3,-1,1669
idle,1670,1670,0 1,-1,1670
computing,1670,1821,0 1 2,12,66
switching_off,1699,1704,3,-2,1699
sleeping,1704,1821,3,-4,1704
idle,1821,1826,0 1 2,-1,1821
switching_on,1821,1826,3,-3,1821
idle,1826,1826,3,-1,1826
computing,1826,1975,0 1 2 3,13,67
idle,1975,1975,0 1 2 3,-1,1975
computing,1975,2125,0 1 2 3,14,70
idle,2125,2125,0 1,-1,2125
idle,2125,2155,2 3,-1,2125
computing,2125,2278,0 1,15,70
switching_off,2155,2160,2 3,-2,2155
sleeping,2160,2278,2 3,-4,2160
idle,2278,2283,0 1,-1,2278
switching_on,2278,2283,2 3,-3,2278
idle,2283,2283,2 3,-1,2283
computing,2283,2433,0 1 2 3,16,82
idle,2433,2433,0 1 2 3,-1,2433
computing,2433,2582,0 1 2 3,17,84
idle,2582,2582,0 1 2,-1,2582
idle,2582,2612,3,-1,2582
computing,2582,2732,0 1 2,20,93
switching_off,2612,2617,3,-2,2612
sleeping,2617,2732,3,-4,2617
idle,2732,2732,0 1 2,-1,2732
