id,energy_consumption,energy_effective,energy_waste
0,386820.0,378630.0,8190.0
1,386820.0,378630.0,8190.0
2,386820.0,376110.0,10710.0
3,386820.0,358470.0,28350.0
4,386820.0,360780.0,26040.0
5,386820.0,368760.0,18060.0
6,386820.0,379470.0,7350.0
7,386820.0,360150.0,26670.0
8,386820.0,377370.0,9450.0
9,386820.0,377790.0,9030.0
10,386820.0,365400.0,21420.0
11,386820.0,347340.0,39480.0
12,386820.0,347760.0,39060.0
13,386820.0,344820.0,42000.0
14,386820.0,337680.0,49140.0
15,386820.0,305130.0,81690.0
