dvfs_mode,state,submission_time,start_time,finish_time,nodes,job_id,terminated
base,switching_off,,0.0,5.0,0 1 2 3 4 5 6 7,-2,
base,active,,0.0,9.0,8 9 10 11 12,-1,
base,active,,0.0,14.0,13 14 15,-1,
base,sleeping,,5.0,3673.0,0 1 2 3 4 5 6 7,-4,
base,active,,9.0,59.0,8 9 10 11 12,1,False
base,active,,14.0,48.0,13 14 15,2,False
base,active,,48.0,153.0,13 14 15,4,False
base,active,,59.0,194.0,8 9 10 11 12,3,False
base,active,,153.0,228.0,13 14 15,5,False
base,active,,194.0,228.0,12,-1,
base,active,,194.0,269.0,8 9 10 11,6,False
base,active,,228.0,342.0,12 13,8,False
base,active,,228.0,364.0,14 15,24,False
base,active,,269.0,270.0,11,-1,
base,active,,269.0,324.0,8 9 10,11,False
base,active,,270.0,416.0,11,56,False
base,active,,324.0,371.0,8 9 10,14,False
base,active,,342.0,439.0,12 13,26,False
base,active,,364.0,441.0,14 15,38,False
base,active,,371.0,468.0,8 9 10,15,False
base,active,,416.0,591.0,11,60,False
base,active,,439.0,503.0,12 13,43,False
base,active,,441.0,499.0,14 15,48,False
base,active,,468.0,565.0,8 9 10,17,False
base,active,,499.0,598.0,14 15,55,False
base,active,,503.0,556.0,12 13,61,False
base,active,,556.0,565.0,13,-1,
base,active,,556.0,612.0,12,62,False
base,active,,565.0,614.0,8 9 10 13,12,False
base,active,,591.0,598.0,11,-1,
base,active,,598.0,668.0,11 14 15,19,False
base,active,,612.0,614.0,12,-1,
base,active,,614.0,705.0,8 9 10 12 13,7,False
base,active,,668.0,738.0,11 14 15,20,False
base,active,,705.0,772.0,8 9 10 12 13,9,False
base,active,,738.0,836.0,11 14 15,21,False
base,active,,772.0,836.0,13,-1,
base,active,,772.0,851.0,8 9 10 12,13,False
base,active,,836.0,917.0,11 13 14 15,16,False
base,active,,851.0,961.0,8 9 10 12,18,False
base,active,,917.0,993.0,11 13 14 15,25,False
base,active,,961.0,993.0,12,-1,
base,active,,961.0,1024.0,8 9 10,27,False
base,active,,993.0,1035.0,11 12 13 14 15,22,False
base,active,,1024.0,1059.0,8 9 10,28,False
base,active,,1035.0,1163.0,11 12 13 14 15,23,False
base,active,,1059.0,1064.0,8 9 10,32,False
base,active,,1064.0,1174.0,8 9 10,33,False
base,active,,1163.0,1209.0,11 12 13 14 15,29,False
base,active,,1174.0,1232.0,8 9 10,34,False
base,active,,1209.0,1232.0,15,-1,
base,active,,1209.0,1292.0,11 12 13 14,30,False
base,active,,1232.0,1250.0,8 9 10 15,31,False
base,active,,1250.0,1292.0,15,-1,
base,active,,1250.0,1412.0,8 9 10,35,False
base,active,,1292.0,1344.0,11 12 13,36,False
base,active,,1292.0,1384.0,14 15,70,False
base,active,,1344.0,1402.0,11 12 13,39,False
base,active,,1384.0,1482.0,14 15,78,False
base,active,,1402.0,1505.0,11 12 13,42,False
base,active,,1412.0,1507.0,8 9 10,51,False
base,active,,1482.0,1581.0,14 15,93,False
base,active,,1505.0,1620.0,11 12 13,53,False
base,active,,1507.0,1620.0,8 9 10,58,False
base,active,,1581.0,1630.0,14 15,98,False
base,active,,1620.0,1709.0,8 9 10 11 12 13,10,False
base,active,,1630.0,1709.0,14 15,-1,
base,active,,1709.0,1743.0,8 9 10 11 12,37,False
base,active,,1709.0,1798.0,13 14 15,67,False
base,active,,1743.0,1798.0,12,-1,
base,active,,1743.0,1857.0,8 9 10 11,40,False
base,active,,1798.0,1898.0,12 13 14 15,41,False
base,active,,1857.0,1930.0,8 9 10 11,44,False
base,active,,1898.0,2043.0,12 13 14 15,45,False
base,active,,1930.0,2015.0,8 9 10 11,47,False
base,active,,2015.0,2061.0,8 9 10 11,49,False
base,active,,2043.0,2165.0,12 13 14 15,50,False
base,active,,2061.0,2107.0,8 9 10 11,52,False
base,active,,2107.0,2204.0,8 9 10 11,54,False
base,active,,2165.0,2242.0,12 13 14 15,57,False
base,active,,2204.0,2297.0,8 9 10 11,63,False
base,active,,2242.0,2359.0,12 13 14 15,66,False
base,active,,2297.0,2359.0,11,-1,
base,active,,2297.0,2368.0,8 9 10,68,False
base,active,,2359.0,2462.0,11 12 13 14 15,59,False
base,active,,2368.0,2463.0,8 9 10,69,False
base,active,,2462.0,2526.0,11 12 13 14 15,64,False
base,active,,2463.0,2528.0,8 9 10,72,False
base,active,,2526.0,2598.0,11 12 13 14 15,71,False
base,active,,2528.0,2639.0,8 9 10,73,False
base,active,,2598.0,2629.0,14,-1,
base,active,,2598.0,2629.0,11 12 13,74,False
base,active,,2598.0,2764.0,15,-1,
base,active,,2629.0,2689.0,11 12 13 14,75,False
base,active,,2639.0,2701.0,8 9 10,76,False
base,active,,2689.0,2764.0,14,-1,
base,active,,2689.0,2787.0,11 12 13,77,False
base,active,,2701.0,2764.0,8 9 10,79,False
base,active,,2764.0,2862.0,8 9 10 14 15,80,False
base,active,,2787.0,2940.0,11 12 13,83,False
base,active,,2862.0,2928.0,15,-1,
base,active,,2862.0,2928.0,8 9 10 14,81,False
base,active,,2928.0,2998.0,8 9 10 14 15,82,False
base,active,,2940.0,3022.0,11 12 13,84,False
base,active,,2998.0,3065.0,14 15,-1,
base,active,,2998.0,3065.0,8 9 10,85,False
base,active,,3022.0,3084.0,11 12 13,86,False
base,active,,3065.0,3149.0,8 9 10 14 15,87,False
base,active,,3084.0,3167.0,11 12 13,89,False
base,active,,3149.0,3211.0,8 9 10 14 15,88,False
base,active,,3167.0,3272.0,11 12 13,92,False
base,active,,3211.0,3265.0,8 9 10 14,90,False
base,active,,3211.0,3431.0,15,-1,
base,active,,3265.0,3331.0,8 9 10 14,94,False
base,active,,3272.0,3332.0,11 12 13,95,False
base,active,,3331.0,3405.0,8 9 10,96,False
base,active,,3331.0,3431.0,14,-1,
base,active,,3332.0,3431.0,11 12 13,97,False
base,active,,3405.0,3463.0,8 9 10,99,False
base,active,,3431.0,3482.0,11 12 13 14 15,100,False
base,active,,3463.0,3482.0,8 9 10,-1,
base,active,,3482.0,3518.0,8 9 10 11 12 13 14,46,False
base,active,,3482.0,3600.0,15,-1,
base,active,,3518.0,3574.0,8 9 10 11 12 13,65,False
base,active,,3518.0,3600.0,14,-1,
base,active,,3574.0,3673.0,8 9 10 11 12 13,91,False
base,switching_off,,3600.0,3605.0,14 15,-2,
base,sleeping,,3605.0,3673.0,14 15,-4,
