job_id,subtime,start_time,finish_time,waiting_time
2,14,14.0,48.0,0.0
1,9,9.0,56.0,0.0
5,26,48.0,123.0,22.0
4,24,24.0,128.0,0.0
6,34,56.0,131.0,22.0
3,19,19.0,153.0,0.0
11,67,131.0,186.0,64.0
9,52,153.0,220.0,101.0
7,41,133.0,224.0,92.0
14,72,186.0,232.0,114.0
8,43,123.0,235.0,80.0
12,67,224.0,272.0,157.0
13,71,232.0,311.0,161.0
10,62,225.0,313.0,163.0
15,89,272.0,369.0,183.0
24,129,235.0,371.0,106.0
16,90,311.0,391.0,221.0
17,90,313.0,408.0,223.0
26,139,313.0,409.0,174.0
56,270,272.0,418.0,2.0
62,279,374.0,430.0,95.0
19,101,391.0,460.0,290.0
20,117,408.0,478.0,291.0
32,156,478.0,482.0,322.0
18,92,374.0,484.0,282.0
21,120,409.0,507.0,289.0
22,122,465.0,507.0,343.0
60,274,371.0,546.0,97.0
38,186,482.0,559.0,296.0
27,148,507.0,570.0,359.0
25,136,507.0,583.0,371.0
28,151,559.0,594.0,408.0
23,126,484.0,611.0,358.0
29,152,588.0,634.0,436.0
34,166,594.0,652.0,428.0
31,155,634.0,652.0,479.0
33,160,570.0,680.0,410.0
30,152,611.0,693.0,459.0
43,202,634.0,697.0,432.0
36,174,652.0,704.0,478.0
37,174,693.0,727.0,519.0
39,186,680.0,736.0,494.0
48,233,737.0,794.0,504.0
35,174,652.0,813.0,478.0
40,187,704.0,817.0,517.0
41,190,727.0,827.0,537.0
42,191,736.0,839.0,545.0
46,219,839.0,875.0,620.0
44,208,813.0,886.0,605.0
49,234,880.0,923.0,646.0
47,223,875.0,960.0,652.0
45,215,817.0,962.0,602.0
52,243,960.0,1006.0,717.0
50,235,886.0,1008.0,651.0
51,243,923.0,1016.0,680.0
55,256,967.0,1065.0,711.0
53,248,962.0,1077.0,714.0
57,270,1008.0,1085.0,738.0
54,248,1006.0,1103.0,758.0
58,270,1016.0,1129.0,746.0
61,277,1085.0,1138.0,808.0
70,314,1085.0,1177.0,771.0
59,270,1077.0,1179.0,807.0
63,287,1103.0,1196.0,816.0
64,288,1138.0,1202.0,850.0
65,289,1179.0,1235.0,890.0
74,332,1235.0,1266.0,903.0
68,306,1202.0,1273.0,896.0
67,303,1202.0,1290.0,899.0
66,295,1196.0,1313.0,901.0
69,311,1235.0,1330.0,924.0
71,325,1273.0,1344.0,948.0
72,327,1290.0,1355.0,963.0
75,334,1330.0,1390.0,996.0
76,341,1344.0,1406.0,1003.0
73,332,1313.0,1423.0,981.0
77,350,1349.0,1446.0,999.0
78,352,1355.0,1451.0,1003.0
79,353,1390.0,1453.0,1037.0
80,373,1411.0,1509.0,1038.0
81,376,1446.0,1512.0,1070.0
93,457,1423.0,1521.0,966.0
82,376,1453.0,1523.0,1077.0
98,483,1509.0,1558.0,1026.0
86,380,1523.0,1584.0,1143.0
85,379,1521.0,1588.0,1142.0
84,379,1512.0,1594.0,1133.0
88,421,1593.0,1655.0,1172.0
83,377,1509.0,1662.0,1132.0
87,399,1584.0,1666.0,1185.0
89,424,1594.0,1676.0,1170.0
90,431,1655.0,1709.0,1224.0
95,477,1676.0,1735.0,1199.0
91,437,1666.0,1764.0,1229.0
92,453,1662.0,1767.0,1209.0
94,464,1709.0,1774.0,1245.0
96,481,1735.0,1809.0,1254.0
99,497,1764.0,1821.0,1267.0
100,504,1774.0,1825.0,1270.0
97,482,1764.0,1862.0,1282.0
