id,energy_consumption,energy_effective,energy_waste
0,3587960.0,1711710.0,1876250.0
1,3587960.0,1711710.0,1876250.0
2,3587960.0,1711710.0,1876250.0
3,3587960.0,1711710.0,1876250.0
4,3587960.0,1711710.0,1876250.0
5,3587960.0,1704110.0,1883850.0
6,3587960.0,1543560.0,2044400.0
7,3587960.0,1396500.0,2191460.0
8,3587960.0,1147600.0,2440360.0
9,3587960.0,937650.0,2650310.0
10,3587960.0,902120.0,2685840.0
11,3542529.0,889200.0,2653329.0
12,3542529.0,858990.0,2683539.0
13,3542529.0,878560.0,2663969.0
14,3549226.0,843220.0,2706006.0
15,3549226.0,696540.0,2852686.0
16,3118627.0,503120.0,2615507.0
17,3071567.0,434910.0,2636657.0
18,3045141.0,393870.0,2651271.0
19,3042607.0,374870.0,2667737.0
20,3042607.0,365370.0,2677237.0
21,2970388.0,317680.0,2652708.0
22,2899074.0,292790.0,2606284.0
23,2646036.0,277970.0,2368066.0
24,2415442.0,250800.0,2164642.0
25,2128738.0,191330.0,1937408.0
26,1885655.0,136420.0,1749235.0
27,1632436.0,121410.0,1511026.0
28,1636780.0,125970.0,1510810.0
29,1641486.0,130910.0,1510576.0
30,1111880.0,81700.0,1030180.0
31,583541.0,44080.0,539461.0
