job_id,subtime,start_time,finish_time,waiting_time
1,7,7.0,60.0,0.0
2,23,30.0,73.0,7.0
3,36,41.0,95.0,5.0
5,43,49.0,108.0,6.0
6,44,73.0,109.0,29.0
4,41,60.0,129.0,19.0
15,81,129.0,145.0,48.0
8,51,113.0,158.0,62.0
9,54,109.0,212.0,55.0
7,50,95.0,242.0,45.0
12,70,242.0,278.0,172.0
10,62,163.0,281.0,101.0
11,64,217.0,281.0,153.0
43,201,206.0,304.0,5.0
16,81,281.0,311.0,200.0
13,71,278.0,345.0,207.0
14,72,281.0,361.0,209.0
33,156,361.0,390.0,205.0
18,86,345.0,397.0,259.0
17,81,311.0,420.0,230.0
22,99,316.0,423.0,217.0
19,92,397.0,457.0,305.0
34,162,423.0,496.0,261.0
39,181,390.0,504.0,209.0
20,93,420.0,532.0,327.0
21,94,457.0,536.0,363.0
24,105,532.0,565.0,427.0
26,111,536.0,574.0,425.0
35,165,509.0,589.0,344.0
23,104,501.0,590.0,397.0
25,109,565.0,632.0,456.0
27,118,574.0,648.0,456.0
28,118,590.0,668.0,472.0
69,314,589.0,719.0,275.0
29,123,632.0,730.0,509.0
30,139,648.0,754.0,509.0
31,139,668.0,770.0,529.0
37,175,724.0,772.0,549.0
46,209,772.0,804.0,563.0
32,139,730.0,806.0,591.0
40,184,754.0,862.0,570.0
36,170,770.0,864.0,600.0
38,180,806.0,869.0,626.0
89,419,804.0,909.0,385.0
44,204,869.0,934.0,665.0
41,196,862.0,939.0,666.0
97,449,864.0,948.0,415.0
42,200,864.0,968.0,664.0
45,204,934.0,1029.0,730.0
48,218,914.0,1032.0,696.0
49,218,968.0,1036.0,750.0
47,215,939.0,1041.0,724.0
52,225,1041.0,1073.0,816.0
50,222,1032.0,1104.0,810.0
51,223,1036.0,1150.0,813.0
53,227,1073.0,1152.0,846.0
55,234,1104.0,1153.0,870.0
56,241,1155.0,1187.0,914.0
57,242,1152.0,1203.0,910.0
54,228,1036.0,1209.0,808.0
58,242,1153.0,1224.0,911.0
61,259,1209.0,1243.0,950.0
60,254,1192.0,1288.0,938.0
59,244,1187.0,1296.0,943.0
62,267,1224.0,1296.0,957.0
63,282,1243.0,1303.0,961.0
66,295,1303.0,1336.0,1008.0
64,284,1288.0,1369.0,1004.0
65,291,1296.0,1394.0,1005.0
67,298,1336.0,1432.0,1038.0
68,312,1369.0,1445.0,1057.0
71,318,1399.0,1475.0,1081.0
72,320,1437.0,1475.0,1117.0
70,315,1394.0,1512.0,1079.0
73,323,1445.0,1530.0,1122.0
74,326,1475.0,1573.0,1149.0
75,335,1480.0,1586.0,1145.0
76,337,1530.0,1623.0,1193.0
78,343,1586.0,1656.0,1243.0
77,340,1573.0,1678.0,1233.0
79,346,1628.0,1698.0,1282.0
81,363,1686.0,1734.0,1323.0
80,359,1656.0,1762.0,1297.0
83,399,1698.0,1779.0,1299.0
82,398,1698.0,1784.0,1300.0
84,402,1734.0,1798.0,1332.0
86,408,1762.0,1817.0,1354.0
85,403,1739.0,1822.0,1336.0
87,414,1779.0,1828.0,1365.0
90,421,1817.0,1856.0,1396.0
88,414,1798.0,1870.0,1384.0
92,424,1828.0,1895.0,1404.0
94,426,1870.0,1923.0,1444.0
91,422,1822.0,1953.0,1400.0
98,455,1958.0,1971.0,1503.0
95,429,1895.0,1981.0,1466.0
93,426,1856.0,1983.0,1430.0
99,457,1971.0,2015.0,1514.0
96,444,1923.0,2048.0,1479.0
100,460,1981.0,2082.0,1521.0
