job_id,type,nodes,start_time,subtime,actual_finish_time,req_finish_time,terminated,finish_time
1,execution_finished,"[0, 1, 2, 3, 4, 5, 6, 7]",296,296,376.0,376.0,False,376.0
2,execution_finished,"[0, 1, 2, 3, 4, 5, 6, 7, 8]",760,760,794.0,794.0,False,794.0
3,execution_finished,"[0, 1, 2, 3, 4, 5, 6, 7, 8]",2509,2504,2609.0,2609.0,False,2609.0
4,execution_finished,"[0, 1, 2, 3, 4]",3238,3238,3346.0,3346.0,False,3346.0
5,execution_finished,"[0, 1, 2, 3, 4, 5, 6]",3605,3605,3657.0,3657.0,False,3657.0
6,execution_finished,"[0, 1, 2, 3, 4, 5, 6, 7]",4090,4085,4170.0,4170.0,False,4170.0
7,execution_finished,"[0, 1, 2, 3, 4, 5, 6]",4476,4476,4523.0,4523.0,False,4523.0
8,execution_finished,"[0, 1, 2, 3, 4]",4859,4859,4946.0,4946.0,False,4946.0
9,execution_finished,"[0, 1, 2, 3, 4, 5, 6]",5675,5675,5736.0,5736.0,False,5736.0
10,execution_finished,"[0, 1, 2, 3, 4, 5, 6]",6426,6426,6580.0,6580.0,False,6580.0
11,execution_finished,"[7, 8, 9, 10, 11, 12]",6543,6538,6611.0,6611.0,False,6611.0
12,execution_finished,"[0, 1, 2, 3, 4, 5, 6, 7]",7003,7003,7074.0,7074.0,False,7074.0
13,execution_finished,"[0, 1, 2, 3, 4, 5, 6, 7]",8391,8386,8495.0,8495.0,False,8495.0
14,execution_finished,"[0, 1, 2, 3, 4, 5]",8933,8933,9005.0,9005.0,False,9005.0
15,execution_finished,"[0, 1, 2, 3, 4, 5, 6, 7]",9758,9753,9836.0,9836.0,False,9836.0
16,execution_finished,"[0, 1, 2, 3, 4, 5, 6, 7, 8]",10613,10608,10698.0,10698.0,False,10698.0
17,execution_finished,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]",12052,12047,12150.0,12150.0,False,12150.0
18,execution_finished,"[0, 1, 2, 3, 4, 5, 6, 7, 8]",12616,12616,12700.0,12700.0,False,12700.0
19,execution_finished,"[0, 1, 2, 3, 4, 5, 6, 7, 8]",13774,13774,13848.0,13848.0,False,13848.0
20,execution_finished,"[0, 1, 2, 3, 4, 5, 6, 7]",14186,14186,14258.0,14258.0,False,14258.0
21,execution_finished,"[0, 1, 2, 3, 4, 5, 6, 7]",14328,14328,14329.0,14329.0,False,14329.0
22,execution_finished,"[0, 1, 2, 3, 4, 5, 6, 7]",14674,14674,14752.0,14752.0,False,14752.0
23,execution_finished,"[0, 1, 2, 3, 4, 5, 6, 7, 8]",14907,14907,15024.0,15024.0,False,15024.0
24,execution_finished,"[0, 1, 2, 3, 4, 5, 6, 7]",16180,16180,16266.0,16266.0,False,16266.0
25,execution_finished,"[0, 1, 2, 3, 4, 5, 6, 7]",16362,16362,16446.0,16446.0,False,16446.0
28,execution_finished,"[16, 17, 18, 19, 20, 21, 22, 23, 24]",16839,16834,16873.0,16873.0,False,16873.0
27,execution_finished,"[9, 10, 11, 12, 13, 14, 15]",16804,16799,16898.0,16898.0,False,16898.0
26,execution_finished,"[0, 1, 2, 3, 4, 5, 6, 7, 8]",16795,16790,16902.0,16902.0,False,16902.0
29,execution_finished,"[0, 1, 2, 3, 4, 5, 6, 7]",17278,17278,17296.0,17296.0,False,17296.0
30,execution_finished,"[0, 1, 2, 3, 4, 5, 6, 7]",17574,17574,17679.0,17679.0,False,17679.0
31,execution_finished,"[0, 1, 2, 3, 4, 5, 6, 7, 8]",18431,18426,18515.0,18515.0,False,18515.0
32,execution_finished,"[9, 10, 11, 12, 13, 14, 15, 16, 17]",18469,18464,18536.0,18536.0,False,18536.0
33,execution_finished,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]",18569,18569,18645.0,18645.0,False,18645.0
34,execution_finished,"[0, 1, 2, 3, 4, 5, 6]",18900,18900,19003.0,19003.0,False,19003.0
35,execution_finished,"[0, 1, 2, 3, 4, 5, 6]",19079,19079,19192.0,19192.0,False,19192.0
36,execution_finished,"[0, 1, 2, 3, 4, 5, 6]",19694,19694,19787.0,19787.0,False,19787.0
37,execution_finished,"[0, 1, 2, 3, 4, 5, 6]",19874,19874,19936.0,19936.0,False,19936.0
38,execution_finished,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]",20686,20681,20770.0,20770.0,False,20770.0
39,execution_finished,"[10, 11, 12, 13, 14, 15, 16, 17]",20734,20729,20805.0,20805.0,False,20805.0
40,execution_finished,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10]",21133,21133,21195.0,21195.0,False,21195.0
41,execution_finished,"[0, 1, 2, 3, 4, 5, 6, 7]",21377,21377,21436.0,21436.0,False,21436.0
42,execution_finished,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]",21714,21714,21793.0,21793.0,False,21793.0
43,execution_finished,"[0, 1, 2, 3, 4, 5, 6, 7, 8]",22554,22554,22622.0,22622.0,False,22622.0
44,execution_finished,"[9, 10, 11, 12, 13, 14, 15, 16]",22559,22554,22683.0,22683.0,False,22683.0
45,execution_finished,"[0, 1, 2, 3, 4, 5, 6, 7, 8]",22686,22686,22732.0,22732.0,False,22732.0
46,execution_finished,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]",23905,23900,23945.0,23945.0,False,23945.0
48,execution_finished,"[9, 10, 11, 12, 13, 14, 15, 16, 17]",24787,24782,24839.0,24839.0,False,24839.0
49,execution_finished,"[18, 19, 20, 21, 22, 23, 24, 25, 26]",24806,24801,24860.0,24860.0,False,24860.0
47,execution_finished,"[0, 1, 2, 3, 4, 5, 6, 7, 8]",24747,24747,24869.0,24869.0,False,24869.0
50,execution_finished,"[0, 1, 2, 3, 4]",24924,24924,25014.0,25014.0,False,25014.0
51,execution_finished,"[0, 1, 2, 3, 4]",25014,25014,25101.0,25101.0,False,25101.0
52,execution_finished,"[0, 1, 2, 3, 4, 5, 6, 7]",25957,25957,25990.0,25990.0,False,25990.0
53,execution_finished,"[0, 1, 2, 3, 4, 5, 6, 7]",26142,26142,26205.0,26205.0,False,26205.0
54,execution_finished,"[0, 1, 2, 3, 4, 5, 6, 7, 8]",26766,26761,26837.0,26837.0,False,26837.0
55,execution_finished,"[0, 1, 2, 3, 4, 5, 6]",28145,28140,28224.0,28224.0,False,28224.0
56,execution_finished,"[0, 1, 2, 3, 4, 5, 6, 7]",29247,29242,29296.0,29296.0,False,29296.0
57,execution_finished,"[0, 1, 2, 3, 4, 5, 6, 7]",29841,29841,29896.0,29896.0,False,29896.0
58,execution_finished,"[0, 1, 2, 3, 4, 5, 6]",31317,31312,31410.0,31410.0,False,31410.0
59,execution_finished,"[0, 1, 2, 3, 4, 5, 6, 7, 8]",31428,31423,31514.0,31514.0,False,31514.0
