job_id,subtime,start_time,finish_time,waiting_time
1,296,296,376.0,0
2,760,765,799.0,5
3,2504,2509,2609.0,5
4,3238,3243,3351.0,5
5,3605,3610,3662.0,5
6,4085,4090,4170.0,5
7,4476,4481,4528.0,5
8,4859,4864,4951.0,5
9,5675,5680,5741.0,5
10,6426,6431,6585.0,5
11,6538,6543,6611.0,5
12,7003,7008,7079.0,5
13,8386,8391,8495.0,5
14,8933,8938,9010.0,5
15,9753,9758,9836.0,5
16,10608,10613,10698.0,5
17,12047,12052,12150.0,5
18,12616,12621,12705.0,5
19,13774,13779,13853.0,5
20,14186,14191,14263.0,5
21,14328,14328,14329.0,0
22,14674,14679,14757.0,5
23,14907,14912,15029.0,5
24,16180,16185,16271.0,5
25,16362,16362,16446.0,0
28,16834,16839,16873.0,5
27,16799,16804,16898.0,5
26,16790,16795,16902.0,5
29,17278,17283,17301.0,5
30,17574,17574,17679.0,0
31,18426,18431,18515.0,5
32,18464,18469,18536.0,5
33,18569,18569,18645.0,0
34,18900,18900,19003.0,0
35,19079,19079,19192.0,0
36,19694,19699,19792.0,5
37,19874,19874,19936.0,0
38,20681,20686,20770.0,5
39,20729,20734,20805.0,5
40,21133,21138,21200.0,5
41,21377,21377,21436.0,0
42,21714,21719,21798.0,5
43,22554,22559,22627.0,5
44,22554,22559,22683.0,5
45,22686,22686,22732.0,0
46,23900,23905,23945.0,5
48,24782,24787,24839.0,5
49,24801,24806,24860.0,5
47,24747,24752,24874.0,5
50,24924,24924,25014.0,0
51,25014,25014,25101.0,0
52,25957,25962,25995.0,5
53,26142,26142,26205.0,0
54,26761,26766,26837.0,5
55,28140,28145,28224.0,5
56,29242,29247,29296.0,5
57,29841,29846,29901.0,5
58,31312,31317,31410.0,5
59,31423,31428,31514.0,5
60,31464,31469,31563.0,5
61,31666,31666,31753.0,0
62,32201,32206,32325.0,5
63,33194,33199,33249.0,5
64,33397,33397,33429.0,0
65,33534,33534,33575.0,0
66,34054,34059,34108.0,5
67,34451,34456,34536.0,5
68,35997,36002,36135.0,5
69,36699,36704,36784.0,5
70,36986,36991,36995.0,5
71,37081,37081,37168.0,0
72,37138,37143,37230.0,5
73,37517,37517,37580.0,0
74,37909,37914,37986.0,5
76,38399,38404,38490.0,5
75,38397,38402,38524.0,5
77,39174,39179,39329.0,5
78,40202,40207,40289.0,5
79,40237,40242,40317.0,5
80,42101,42106,42107.0,5
81,42146,42146,42162.0,0
82,42186,42191,42293.0,5
83,42996,43001,43091.0,5
85,43105,43110,43152.0,5
84,43091,43091,43154.0,0
86,43239,43239,43336.0,0
87,43400,43400,43476.0,0
88,43652,43652,43732.0,0
89,44589,44594,44735.0,5
90,44663,44668,44766.0,5
91,45175,45180,45251.0,5
92,45228,45233,45346.0,5
93,46229,46234,46357.0,5
94,47259,47264,47306.0,5
95,47534,47534,47610.0,0
96,48101,48106,48175.0,5
97,48809,48814,48922.0,5
98,48836,48841,48939.0,5
99,48982,48982,49052.0,0
100,49028,49028,49106.0,0
101,49641,49646,49676.0,5
102,49748,49748,49802.0,0
103,50411,50416,50489.0,5
104,50723,50723,50800.0,0
105,51621,51626,51689.0,5
106,52267,52272,52371.0,5
108,52527,52532,52569.0,5
107,52516,52521,52624.0,5
109,52812,52812,52875.0,0
110,53887,53892,53976.0,5
111,54724,54729,54836.0,5
112,55034,55039,55108.0,5
113,55249,55249,55331.0,0
114,55801,55806,55889.0,5
115,56008,56008,56074.0,0
116,56259,56259,56333.0,0
117,56297,56302,56339.0,5
118,56356,56356,56441.0,0
119,56442,56442,56524.0,0
120,56611,56611,56726.0,0
121,60004,60009,60111.0,5
122,60142,60147,60175.0,5
123,60359,60359,60474.0,0
