id,energy_consumption,energy_effective,energy_waste
0,14694988.0,2602620.0,12092368.0
1,14694988.0,2602620.0,12092368.0
2,14487200.0,2551320.0,11935880.0
3,14487200.0,2551320.0,11935880.0
4,14487200.0,2551320.0,11935880.0
5,14241221.0,2449670.0,11791551.0
6,13898950.0,2365310.0,11533640.0
7,11560611.0,1672380.0,9888231.0
8,8556916.0,1090220.0,7466696.0
9,5226335.0,577980.0,4648355.0
10,4550300.0,467780.0,4082520.0
11,4479710.0,456000.0,4023710.0
12,4479710.0,456000.0,4023710.0
13,4120606.0,406980.0,3713626.0
14,3834445.0,366890.0,3467555.0
15,3241670.0,276640.0,2965030.0
16,2972885.0,224390.0,2748495.0
17,1995123.0,90440.0,1904683.0
18,1382981.0,22610.0,1360371.0
19,1267865.0,16720.0,1251145.0
20,1267865.0,16720.0,1251145.0
21,1267865.0,16720.0,1251145.0
22,1267865.0,16720.0,1251145.0
23,1267865.0,16720.0,1251145.0
24,1267865.0,16720.0,1251145.0
25,1152206.0,10260.0,1141946.0
26,1152206.0,10260.0,1141946.0
27,1032927.0,0.0,1032927.0
28,1032927.0,0.0,1032927.0
29,1032927.0,0.0,1032927.0
30,1032927.0,0.0,1032927.0
31,1032927.0,0.0,1032927.0
