dvfs_mode,state,submission_time,start_time,finish_time,nodes,job_id,terminated
base,active,,0.0,7.0,0 1 2 3,-1,
base,active,,0.0,23.0,4 5 6 7 8,-1,
base,active,,0.0,36.0,9 10 11 12,-1,
base,active,,0.0,44.0,13 14 15,-1,
base,active,,7.0,60.0,0 1 2 3,1,False
base,active,,23.0,66.0,4 5 6 7 8,2,False
base,active,,36.0,90.0,9 10 11 12,3,False
base,active,,44.0,103.0,13 14 15,5,False
base,active,,60.0,129.0,0 1 2 3,4,False
base,active,,66.0,68.0,8,-1,
base,active,,66.0,102.0,4 5 6 7,6,False
base,switching_off,,68.0,73.0,8,-2,
base,sleeping,,73.0,103.0,8,-4,
base,active,,90.0,237.0,9 10 11 12,7,False
base,active,,102.0,147.0,4 5 6 7,8,False
base,active,,103.0,108.0,13 14 15,-1,
base,switching_on,,103.0,108.0,8,-3,
base,active,,108.0,211.0,8 13 14 15,9,False
base,active,,129.0,145.0,0 1 2 3,15,False
base,active,,145.0,147.0,0 1 2 3,-1,
base,switching_off,,147.0,152.0,6 7,-2,
base,active,,147.0,265.0,0 1 2 3 4 5,10,False
base,sleeping,,152.0,201.0,6,-4,
base,sleeping,,152.0,211.0,7,-4,
base,switching_on,,201.0,206.0,6,-3,
base,active,,206.0,304.0,6,43,False
base,active,,211.0,216.0,8 13 14 15,-1,
base,switching_on,,211.0,216.0,7,-3,
base,active,,216.0,280.0,7 8 13 14 15,11,False
base,active,,237.0,273.0,9 10 11 12,12,False
base,active,,265.0,332.0,0 1 2 3,13,False
base,active,,265.0,379.0,4 5,39,False
base,active,,273.0,353.0,9 10 11 12,14,False
base,active,,280.0,304.0,7 8 13 14 15,-1,
base,active,,304.0,334.0,6 7 8 13 14 15,16,False
base,active,,332.0,384.0,0 1 2 3,18,False
base,active,,334.0,349.0,15,-1,
base,active,,334.0,443.0,6 7 8 13 14,17,False
base,switching_off,,349.0,354.0,15,-2,
base,active,,353.0,379.0,9 10 11 12,-1,
base,sleeping,,354.0,384.0,15,-4,
base,active,,379.0,439.0,4 5 9 10 11 12,19,False
base,active,,384.0,389.0,0 1 2 3,-1,
base,switching_on,,384.0,389.0,15,-3,
base,active,,389.0,501.0,0 1 2 3 15,20,False
base,active,,439.0,518.0,4 5 9 10,21,False
base,active,,439.0,569.0,11 12,69,False
base,active,,443.0,548.0,13 14,89,False
base,active,,443.0,550.0,6 7 8,22,False
base,active,,501.0,518.0,15,-1,
base,active,,501.0,590.0,0 1 2 3,23,False
base,active,,518.0,551.0,4 5 9 10 15,24,False
base,active,,548.0,550.0,13 14,-1,
base,active,,550.0,617.0,6 7 8 13 14,25,False
base,active,,551.0,563.0,15,-1,
base,active,,551.0,589.0,4 5 9 10,26,False
base,switching_off,,563.0,568.0,15,-2,
base,sleeping,,568.0,569.0,15,-4,
base,active,,569.0,574.0,11 12,-1,
base,switching_on,,569.0,574.0,15,-3,
base,active,,574.0,647.0,11 12 15,34,False
base,active,,589.0,663.0,4 5 9 10,27,False
base,active,,590.0,688.0,0 1 2 3,29,False
base,active,,617.0,695.0,6 7 8 13 14,28,False
base,active,,647.0,727.0,11 12 15,35,False
base,active,,663.0,769.0,4 5 9 10,30,False
base,active,,688.0,764.0,0 1 2 3,32,False
base,active,,695.0,797.0,6 7 8 13 14,31,False
base,active,,727.0,775.0,11 12 15,37,False
base,active,,764.0,793.0,0 1 2 3,33,False
