id,energy_consumption,energy_effective,energy_waste
0,223701943.0,160103310.0,63598633.0
1,222693049.0,162966610.0,59726439.0
2,222491053.0,163594370.0,58896683.0
3,222004163.0,163655930.0,58348233.0
4,219428533.0,160831390.0,58597143.0
5,220248101.0,163300440.0,56947661.0
6,220569557.0,163754730.0,56814827.0
7,220919249.0,163917370.0,57001879.0
8,218683899.0,160969330.0,57714569.0
9,219232148.0,162341700.0,56890448.0
10,220665849.0,163444460.0,57221389.0
11,220523221.0,163984820.0,56538401.0
12,218909425.0,163264910.0,55644515.0
13,217642244.0,162807200.0,54835044.0
14,218570593.0,163666950.0,54903643.0
15,216724574.0,162414280.0,54310294.0
16,216941231.0,160496610.0,56444621.0
17,216899963.0,160801560.0,56098403.0
18,216887474.0,161250720.0,55636754.0
19,215777763.0,160973890.0,54803873.0
20,213470918.0,157210180.0,56260738.0
21,213100954.0,157223670.0,55877284.0
22,212911085.0,157192700.0,55718385.0
23,212494966.0,157150520.0,55344446.0
24,212260209.0,157197070.0,55063139.0
25,212069616.0,157141970.0,54927646.0
26,211342720.0,157091620.0,54251100.0
27,209916440.0,155649140.0,54267300.0
28,210154093.0,154978630.0,55175463.0
29,211007327.0,154864630.0,56142697.0
30,210245498.0,154545050.0,55700448.0
31,210692749.0,156132690.0,54560059.0
32,211000449.0,156882050.0,54118399.0
33,209329638.0,153454640.0,55874998.0
34,210118617.0,155599170.0,54519447.0
35,212113056.0,157309360.0,54803696.0
36,210097983.0,152882550.0,57215433.0
37,210503604.0,154879260.0,55624344.0
38,208394773.0,149376480.0,59018293.0
39,207195648.0,148146230.0,59049418.0
40,209370363.0,151462300.0,57908063.0
41,209057776.0,152169100.0,56888676.0
42,210007483.0,153507080.0,56500403.0
43,210007483.0,153486370.0,56521113.0
44,208825191.0,151412330.0,57412861.0
45,208385180.0,151749770.0,56635410.0
46,208316400.0,150931630.0,57384770.0
47,206461874.0,148858730.0,57603144.0
48,208388981.0,151265460.0,57123521.0
49,206883423.0,149535130.0,57348293.0
50,206427303.0,148597290.0,57830013.0
51,206427303.0,148562900.0,57864403.0
52,205905118.0,148720220.0,57184898.0
53,206237253.0,149594030.0,56643223.0
54,207097003.0,148407480.0,58689523.0
55,205128990.0,146641810.0,58487180.0
56,205697873.0,147279260.0,58418613.0
57,206633643.0,149640010.0,56993633.0
58,206628394.0,149713920.0,56914474.0
59,207079265.0,149932800.0,57146465.0
60,207929965.0,153492640.0,54437325.0
61,204780927.0,149442220.0,55338707.0
62,204580922.0,148424960.0,56155962.0
63,205029440.0,148969690.0,56059750.0
64,193759656.0,126293190.0,67466466.0
65,188027205.0,117506070.0,70521135.0
66,183841580.0,116072900.0,67768680.0
67,185602891.0,118094500.0,67508391.0
68,184320687.0,116568990.0,67751697.0
69,183589809.0,116712630.0,66877179.0
70,182738023.0,115086800.0,67651223.0
71,180457966.0,112952720.0,67505246.0
72,180094337.0,109679970.0,70414367.0
73,179687992.0,108320520.0,71367472.0
74,178197276.0,107492880.0,70704396.0
75,179099742.0,107607260.0,71492482.0
76,176225824.0,104697980.0,71527844.0
77,176411530.0,104861760.0,71549770.0
78,176186366.0,104438630.0,71747736.0
79,174515374.0,102693860.0,71821514.0
80,178247594.0,102957580.0,75290014.0
81,177405039.0,102951310.0,74453729.0
82,171903001.0,97315530.0,74587471.0
83,170592923.0,96912350.0,73680573.0
84,167683529.0,93039770.0,74643759.0
85,172840581.0,97729730.0,75110851.0
86,171794220.0,96522280.0,75271940.0
87,167379449.0,92722280.0,74657169.0
88,173662864.0,101439480.0,72223384.0
89,173283669.0,100551040.0,72732629.0
90,172571977.0,100500310.0,72071667.0
91,169445745.0,97382220.0,72063525.0
92,170921800.0,98098330.0,72823470.0
93,170345315.0,98303910.0,72041405.0
94,166929302.0,95710220.0,71219082.0
95,166667214.0,95312170.0,71355044.0
96,167088220.0,93693560.0,73394660.0
97,165239305.0,93223500.0,72015805.0
98,162465661.0,89467390.0,72998271.0
99,159077341.0,86400600.0,72676741.0
100,158705205.0,86412000.0,72293205.0
101,159594639.0,87459090.0,72135549.0
102,161509800.0,89348830.0,72160970.0
103,160743989.0,89566950.0,71177039.0
104,160994855.0,87277640.0,73717215.0
105,161770802.0,90673890.0,71096912.0
106,161833247.0,92494090.0,69339157.0
107,161520660.0,93675130.0,67845530.0
108,153826893.0,81786070.0,72040823.0
109,153591231.0,80989020.0,72602211.0
110,152863973.0,78154030.0,74709943.0
111,147715609.0,72446430.0,75269179.0
112,141902070.0,68659920.0,73242150.0
113,138027765.0,60803230.0,77224535.0
114,137780519.0,60349130.0,77431389.0
115,138413114.0,60683340.0,77729774.0
116,137555717.0,58577950.0,78977767.0
117,135933233.0,60127590.0,75805643.0
118,135727074.0,60750600.0,74976474.0
119,132691523.0,56808860.0,75882663.0
120,132221647.0,55796350.0,76425297.0
121,129961681.0,54266470.0,75695211.0
122,130517894.0,57331550.0,73186344.0
123,130524591.0,53903000.0,76621591.0
124,126822960.0,50354940.0,76468020.0
125,124931510.0,50910880.0,74020630.0
126,122735256.0,49530910.0,73204346.0
127,120504069.0,48253920.0,72250149.0
