id,energy_consumption,energy_effective,energy_waste
0,5625108.0,562800.0,5062308.0
1,5589933.0,546630.0,5043303.0
2,5589933.0,546630.0,5043303.0
3,5589933.0,546630.0,5043303.0
4,5589933.0,546630.0,5043303.0
5,5589933.0,546630.0,5043303.0
6,6097056.0,572460.0,5524596.0
7,5544909.0,448560.0,5096349.0
8,4986531.0,435120.0,4551411.0
9,3919623.0,394590.0,3525033.0
10,5485614.0,427350.0,5058264.0
11,5485614.0,427350.0,5058264.0
12,4725633.0,278250.0,4447383.0
13,4654881.0,267330.0,4387551.0
14,4783722.0,357420.0,4426302.0
15,3338532.0,455490.0,2883042.0
16,4003842.0,544740.0,3459102.0
17,3950175.0,488670.0,3461505.0
18,3950175.0,488670.0,3461505.0
19,3950175.0,488670.0,3461505.0
20,3923241.0,464100.0,3459141.0
21,3889272.0,428610.0,3460662.0
22,3698925.0,339990.0,3358935.0
23,2959245.0,232470.0,2726775.0
24,1777968.0,177660.0,1600308.0
25,3695910.0,369810.0,3326100.0
26,3686865.0,360360.0,3326505.0
27,3081654.0,358050.0,2723604.0
28,3068991.0,344820.0,2724171.0
29,3527271.0,326340.0,3200931.0
30,2969094.0,329070.0,2640024.0
31,2327502.0,124320.0,2203182.0
