dvfs_mode,state,submission_time,start_time,finish_time,nodes,job_id,terminated
base,active,,0.0,154.0,0 1 2 3 4 5 6 7,-1.0,
base,active,,0.0,300.0,8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31,-1.0,
base,active,154.0,154.0,264.0,0 1 2 3 4 5 6 7,1.0,False
base,active,,264.0,564.0,0 1 2 3 4 5 6 7,-1.0,
base,switching_off,,300.0,2100.0,8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31,-2.0,
base,switching_off,,564.0,2364.0,0 1 2 3 4 5 6 7,-2.0,
base,sleeping,,2100.0,2515.0,15 16 17 18 19 20,-4.0,
base,sleeping,,2100.0,2893.0,21 22 23 24 25 26 27 28,-4.0,
base,switching_on,,2100.0,4800.0,8 9 10 11 12 13 14,-3.0,
base,sleeping,,2100.0,4865.0,29,-4.0,
base,sleeping,,2100.0,7383.0,30 31,-4.0,
base,sleeping,,2364.0,2498.0,0 1 2 3 4 5 6,-4.0,
base,sleeping,,2364.0,2515.0,7,-4.0,
base,switching_on,,2498.0,5198.0,0 1 2 3 4 5 6,-3.0,
base,switching_on,,2515.0,5215.0,7 15 16 17 18 19 20,-3.0,
base,switching_on,,2893.0,5593.0,21 22 23 24 25 26 27 28,-3.0,
base,active,1843.0,4800.0,4865.0,8 9 10 11 12 13 14,2.0,False
base,active,,4865.0,7565.0,8 9 10 11 12 13 14,-1.0,
base,switching_on,,4865.0,7565.0,29,-3.0,
base,active,2498.0,5198.0,5301.0,0 1 2 3 4 5 6,3.0,False
base,active,2515.0,5215.0,5283.0,7 15 16 17 18 19 20,4.0,False
base,active,,5283.0,5583.0,7 15 16 17 18 19 20,-1.0,
base,active,,5301.0,5601.0,0 1 2 3 4 5 6,-1.0,
base,switching_off,,5583.0,7383.0,7 15 16 17 18 19 20,-2.0,
base,active,2893.0,5593.0,5664.0,21 22 23 24 25 26 27 28,5.0,False
base,switching_off,,5601.0,7401.0,0 1 2 3 4 5 6,-2.0,
base,active,,5664.0,5964.0,21 22 23 24 25 26 27 28,-1.0,
base,switching_off,,5964.0,7764.0,21 22 23 24 25 26 27 28,-2.0,
base,switching_on,,7383.0,10083.0,7 15 16 17 18 19 20 30 31,-3.0,
base,sleeping,,7401.0,7620.0,0,-4.0,
base,sleeping,,7401.0,8159.0,1 2 3 4 5 6,-4.0,
base,active,4309.0,7565.0,7620.0,8 9 10 11 12 13 14 29,6.0,False
base,active,,7620.0,10320.0,8 9 10 11 12 13 14 29,-1.0,
base,switching_on,,7620.0,10320.0,0,-3.0,
base,sleeping,,7764.0,8159.0,21,-4.0,
base,sleeping,,7764.0,14985.0,22,-4.0,
base,sleeping,,7764.0,15308.0,23 24 25 26 27 28,-4.0,
base,switching_on,,8159.0,10859.0,1 2 3 4 5 6 21,-3.0,
base,active,5969.0,10083.0,10160.0,7 15 16 17 18 19 20 30 31,7.0,False
base,active,9003.0,10160.0,10260.0,7 15 16 17 18 19 20 30 31,10.0,False
base,active,,10260.0,10469.0,7 15,-1.0,
base,active,,10260.0,10560.0,16 17 18 19 20 30 31,-1.0,
base,active,6681.0,10320.0,10371.0,0 8 9 10 11 12 13 14 29,8.0,False
base,active,,10371.0,10469.0,0 8 9 10 11 12 13 14,-1.0,
base,active,,10371.0,10671.0,29,-1.0,
base,active,10469.0,10469.0,10589.0,0 7 8 9 10 11 12 13 14 15,11.0,False
base,switching_off,,10560.0,12360.0,16 17 18 19 20 30 31,-2.0,
base,active,,10589.0,10889.0,0 7 8 9 10 11 12 13 14 15,-1.0,
base,switching_off,,10671.0,12471.0,29,-2.0,
base,active,8159.0,10859.0,10953.0,1 2 3 4 5 6 21,9.0,False
base,switching_off,,10889.0,12689.0,0 7 8 9 10 11 12 13 14 15,-2.0,
base,active,,10953.0,11253.0,1 2 3 4 5 6 21,-1.0,
base,switching_off,,11253.0,13053.0,1 2 3 4 5 6 21,-2.0,
base,sleeping,,12360.0,14985.0,16 17 18 19 20,-4.0,
base,sleeping,,12360.0,15308.0,30,-4.0,
base,sleeping,,12360.0,16294.0,31,-4.0,
base,sleeping,,12471.0,15308.0,29,-4.0,
base,sleeping,,12689.0,13516.0,0 7,-4.0,
base,sleeping,,12689.0,13826.0,8 9 10 11 12 13 14,-4.0,
base,sleeping,,12689.0,14985.0,15,-4.0,
base,sleeping,,13053.0,13516.0,1 2 3 4 5 6,-4.0,
base,sleeping,,13053.0,14985.0,21,-4.0,
base,switching_on,,13516.0,16216.0,0 1 2 3 4 5 6 7,-3.0,
base,switching_on,,13826.0,16526.0,8 9 10 11 12 13 14,-3.0,
base,switching_on,,14985.0,17685.0,15 16 17 18 19 20 21 22,-3.0,
base,switching_on,,15308.0,18008.0,23 24 25 26 27 28 29 30,-3.0,
base,active,13516.0,16216.0,16294.0,0 1 2 3 4 5 6 7,12.0,False
base,active,,16294.0,18994.0,0 1 2 3 4 5 6 7,-1.0,
base,switching_on,,16294.0,18994.0,31,-3.0,
base,active,13826.0,16526.0,16643.0,8 9 10 11 12 13 14,13.0,False
base,active,,16643.0,16943.0,8 9 10 11 12 13 14,-1.0,
base,switching_off,,16943.0,18743.0,8 9 10 11 12 13 14,-2.0,
base,active,14985.0,17685.0,17787.0,15 16 17 18 19 20 21 22,14.0,False
base,active,16407.0,17787.0,17884.0,15 16 17 18 19 20 21 22,17.0,False
base,active,,17884.0,18111.0,15 16 17 18 19 20 21 22,-1.0,
base,active,15308.0,18008.0,18111.0,23 24 25 26 27 28 29 30,15.0,False
base,active,16502.0,18111.0,18122.0,15 16 17 18 19 20 21 22 23,18.0,False
base,active,,18111.0,18411.0,24 25 26 27 28 29 30,-1.0,
base,active,17971.0,18122.0,18220.0,15 16 17 18 19 20 21 22,19.0,False
base,active,,18122.0,18220.0,23,-1.0,
base,active,18064.0,18220.0,18290.0,15 16 17 18 19 20 21 22 23,20.0,False
base,active,,18290.0,18590.0,15 16 17 18 19 20 21 22 23,-1.0,
base,switching_off,,18411.0,20211.0,24 25 26 27 28 29 30,-2.0,
base,switching_off,,18590.0,20390.0,15 16 17 18 19 20 21 22 23,-2.0,
base,sleeping,,18743.0,19102.0,8,-4.0,
base,sleeping,,18743.0,19411.0,9 10 11 12 13 14,-4.0,
base,active,15321.0,18994.0,19102.0,0 1 2 3 4 5 6 7 31,16.0,False
base,active,,19102.0,21802.0,0 1 2 3 4 5 6 7 31,-1.0,
base,switching_on,,19102.0,21802.0,8,-3.0,
base,switching_on,,19411.0,22111.0,9 10 11 12 13 14,-3.0,
base,sleeping,,20211.0,21941.0,24 25 26 27 28 29 30,-4.0,
base,switching_on,,20390.0,23090.0,15 16 17 18 19 20 21 22 23,-3.0,
base,active,18918.0,21802.0,21941.0,0 1 2 3 4 5 6 7 8 31,21.0,False
base,active,19411.0,21941.0,22015.0,0 1 2 3 4 5 6 7 8,24.0,False
base,active,,21941.0,24641.0,31,-1.0,
base,switching_on,,21941.0,24641.0,24 25 26 27 28 29 30,-3.0,
base,active,21939.0,22015.0,22051.0,0 1 2 3 4 5 6 7,26.0,False
base,active,,22015.0,22315.0,8,-1.0,
base,active,,22051.0,22152.0,0 1 2 3 4 5 6,-1.0,
base,active,,22051.0,22351.0,7,-1.0,
base,active,19319.0,22111.0,22177.0,9 10 11 12 13 14,23.0,False
base,active,22152.0,22152.0,22233.0,0 1 2 3 4 5 6,27.0,False
base,active,,22177.0,22477.0,9 10 11 12 13 14,-1.0,
base,active,,22233.0,22533.0,0 1 2 3 4 5 6,-1.0,
base,switching_off,,22315.0,24115.0,8,-2.0,
base,switching_off,,22351.0,24151.0,7,-2.0,
base,switching_off,,22477.0,24277.0,9 10 11 12 13 14,-2.0,
base,switching_off,,22533.0,24333.0,0 1 2 3 4 5 6,-2.0,
base,active,19213.0,23090.0,23164.0,15 16 17 18 19 20 21 22 23,22.0,False
base,active,23089.0,23164.0,23260.0,15 16 17 18 19 20 21 22,28.0,False
base,active,,23164.0,23464.0,23,-1.0,
base,active,,23260.0,23560.0,15 16 17 18 19 20 21 22,-1.0,
base,switching_off,,23464.0,25264.0,23,-2.0,
base,switching_off,,23560.0,25360.0,15 16 17 18 19 20 21 22,-2.0,
base,sleeping,,24115.0,24277.0,8,-4.0,
base,sleeping,,24151.0,24277.0,7,-4.0,
base,switching_on,,24277.0,26977.0,7 8 9 10 11 12 13 14,-3.0,
base,sleeping,,24333.0,25597.0,0 1 2 3 4 5 6,-4.0,
base,active,19961.0,24641.0,24687.0,24 25 26 27 28 29 30 31,25.0,False
base,active,,24687.0,24808.0,24 25 26 27 28 29 30,-1.0,
base,active,,24687.0,24987.0,31,-1.0,
base,active,24808.0,24808.0,24869.0,24 25 26 27 28 29 30,30.0,False
base,active,,24869.0,25169.0,24 25 26 27 28 29 30,-1.0,
base,switching_off,,24987.0,26787.0,31,-2.0,
base,switching_off,,25169.0,26969.0,24 25 26 27 28 29 30,-2.0,
base,sleeping,,25264.0,26969.0,23,-4.0,
base,sleeping,,25360.0,25597.0,15 16,-4.0,
base,sleeping,,25360.0,26639.0,17 18 19 20 21 22,-4.0,
base,switching_on,,25597.0,28297.0,0 1 2 3 4 5 6 15 16,-3.0,
base,switching_on,,26639.0,29339.0,17 18 19 20 21 22,-3.0,
base,sleeping,,26787.0,26969.0,31,-4.0,
base,switching_on,,26969.0,29669.0,23 24 25 26 27 28 29 30 31,-3.0,
