job_id,type,nodes,start_time,subtime,actual_finish_time,req_finish_time,terminated,finish_time
1,execution_finished,"[0, 1, 2, 3, 4, 5, 6, 7]",154.0,154,264.0,264.0,False,264.0
2,execution_finished,"[8, 9, 10, 11, 12, 13, 14]",4800.0,1843,4865.0,4865.0,False,4865.0
4,execution_finished,"[7, 15, 16, 17, 18, 19, 20]",5215.0,2515,5283.0,5283.0,False,5283.0
3,execution_finished,"[0, 1, 2, 3, 4, 5, 6]",5198.0,2498,5301.0,5301.0,False,5301.0
5,execution_finished,"[21, 22, 23, 24, 25, 26, 27, 28]",5593.0,2893,5664.0,5664.0,False,5664.0
6,execution_finished,"[8, 9, 10, 11, 12, 13, 14, 29]",7565.0,4309,7620.0,7620.0,False,7620.0
7,execution_finished,"[7, 15, 16, 17, 18, 19, 20, 30, 31]",10083.0,5969,10160.0,10160.0,False,10160.0
10,execution_finished,"[7, 15, 16, 17, 18, 19, 20, 30, 31]",10160.0,9003,10260.0,10260.0,False,10260.0
8,execution_finished,"[8, 9, 10, 11, 12, 13, 14, 29, 0]",10320.0,6681,10371.0,10371.0,False,10371.0
11,execution_finished,"[0, 7, 8, 9, 10, 11, 12, 13, 14, 15]",10469.0,10469,10589.0,10589.0,False,10589.0
9,execution_finished,"[1, 2, 3, 4, 5, 6, 21]",10859.0,8159,10953.0,10953.0,False,10953.0
12,execution_finished,"[0, 1, 2, 3, 4, 5, 6, 7]",16216.0,13516,16294.0,16294.0,False,16294.0
13,execution_finished,"[8, 9, 10, 11, 12, 13, 14]",16526.0,13826,16643.0,16643.0,False,16643.0
14,execution_finished,"[15, 16, 17, 18, 19, 20, 21, 22]",17685.0,14985,17787.0,17787.0,False,17787.0
17,execution_finished,"[15, 16, 17, 18, 19, 20, 21, 22]",17787.0,16407,17884.0,17884.0,False,17884.0
15,execution_finished,"[23, 24, 25, 26, 27, 28, 29, 30]",18008.0,15308,18111.0,18111.0,False,18111.0
18,execution_finished,"[15, 16, 17, 18, 19, 20, 21, 22, 23]",18111.0,16502,18122.0,18122.0,False,18122.0
19,execution_finished,"[15, 16, 17, 18, 19, 20, 21, 22]",18122.0,17971,18220.0,18220.0,False,18220.0
20,execution_finished,"[15, 16, 17, 18, 19, 20, 21, 22, 23]",18220.0,18064,18290.0,18290.0,False,18290.0
16,execution_finished,"[0, 1, 2, 3, 4, 5, 6, 7, 31]",18994.0,15321,19102.0,19102.0,False,19102.0
21,execution_finished,"[0, 1, 2, 3, 4, 5, 6, 7, 31, 8]",21802.0,18918,21941.0,21941.0,False,21941.0
24,execution_finished,"[0, 1, 2, 3, 4, 5, 6, 7, 8]",21941.0,19411,22015.0,22015.0,False,22015.0
26,execution_finished,"[0, 1, 2, 3, 4, 5, 6, 7]",22015.0,21939,22051.0,22051.0,False,22051.0
23,execution_finished,"[9, 10, 11, 12, 13, 14]",22111.0,19319,22177.0,22177.0,False,22177.0
27,execution_finished,"[0, 1, 2, 3, 4, 5, 6]",22152.0,22152,22233.0,22233.0,False,22233.0
22,execution_finished,"[15, 16, 17, 18, 19, 20, 21, 22, 23]",23090.0,19213,23164.0,23164.0,False,23164.0
28,execution_finished,"[15, 16, 17, 18, 19, 20, 21, 22]",23164.0,23089,23260.0,23260.0,False,23260.0
25,execution_finished,"[31, 24, 25, 26, 27, 28, 29, 30]",24641.0,19961,24687.0,24687.0,False,24687.0
30,execution_finished,"[24, 25, 26, 27, 28, 29, 30]",24808.0,24808,24869.0,24869.0,False,24869.0
29,execution_finished,"[7, 8, 9, 10, 11, 12, 13, 14]",26977.0,23666,27047.0,27047.0,False,27047.0
31,execution_finished,"[0, 1, 2, 3, 4, 5, 6, 15, 16]",28297.0,25597,28443.0,28443.0,False,28443.0
33,execution_finished,"[0, 1, 2, 3, 4, 5, 6, 15, 16]",28443.0,26221,28542.0,28542.0,False,28542.0
34,execution_finished,"[0, 1, 2, 3, 4, 5, 6, 15, 16]",28542.0,26539,28617.0,28617.0,False,28617.0
36,execution_finished,"[0, 1, 2, 3, 4, 5, 6]",28617.0,28306,28671.0,28671.0,False,28671.0
35,execution_finished,"[17, 18, 19, 20, 21, 22]",29339.0,26639,29392.0,29392.0,False,29392.0
32,execution_finished,"[23, 24, 25, 26, 27, 28, 29, 30, 31]",29669.0,25645,29755.0,29755.0,False,29755.0
37,execution_finished,"[23, 24, 25, 26, 27, 28, 29, 30]",29946.0,29946,30009.0,30009.0,False,30009.0
38,execution_finished,"[7, 8, 9, 10, 11, 12]",33099.0,30399,33151.0,33151.0,False,33151.0
39,execution_finished,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]",38018.0,35318,38127.0,38127.0,False,38127.0
40,execution_finished,"[10, 11, 12, 13, 14, 15]",39735.0,37035,39780.0,39780.0,False,39780.0
41,execution_finished,"[0, 1, 2, 3, 4, 5, 6, 7, 8]",43153.0,40453,43254.0,43254.0,False,43254.0
44,execution_finished,"[0, 1, 2, 3, 4, 5, 6]",43254.0,42271,43303.0,43303.0,False,43303.0
42,execution_finished,"[9, 16, 17, 18, 19, 20, 21, 22, 23, 24]",43797.0,41097,43854.0,43854.0,False,43854.0
45,execution_finished,"[9, 16, 17, 18, 19, 20, 21]",43854.0,43698,43929.0,43929.0,False,43929.0
46,execution_finished,"[9, 16, 17, 18, 19, 20, 21, 22]",43929.0,43811,44054.0,44054.0,False,44054.0
47,execution_finished,"[9, 16, 17, 18, 19, 20]",44054.0,44004,44073.0,44073.0,False,44073.0
